ts_code,index_code,index_name,evidence_url,evidence_type,confidence,notes
510070.SH,000049.SH,上证民营企业50指数,tushare://index_basic?symbol=000049,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510110.SH,000063.SH,上证周期行业50指数,tushare://index_basic?symbol=000063,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510220.SH,000046.SH,上证中小盘指数,tushare://index_basic?symbol=000046,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510120.SH,000064.SH,上证非周期行业100指数,tushare://index_basic?symbol=000064,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510260.SH,000067.SH,上证新兴产业指数,tushare://index_basic?symbol=000067,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
159911.SZ,399337.SZ,深证民营指数,tushare://index_basic?symbol=399337,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510280.SH,000028.SH,上证180成长指数,tushare://index_basic?symbol=000028,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
159917.SZ,399602.SZ,中小300成长指数,tushare://index_basic?symbol=399602,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510420.SH,000051.SH,上证180等权重指数,tushare://index_basic?symbol=000051,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510430.SH,000050.SH,上证50等权重指数,tushare://index_basic?symbol=000050,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510440.SH,000802.SH,中证500沪市指数,tushare://index_basic?symbol=000802,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
159921.SZ,399634.SZ,中小板等权重指数,tushare://index_basic?symbol=399634,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510610.SH,000032.SH,上证能源行业指数,tushare://index_basic?symbol=000032,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510620.SH,000033.SH,上证原材料行业指数,tushare://index_basic?symbol=000033,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510700.SH,000155.SH,上证市值100指数,tushare://index_basic?symbol=000155,tushare_index_basic_exact_query,provider_catalog_exact_name,指数后更名为市值百强；历史区间待核验
159924.SZ,000984.CSI,沪深300等权重指数,tushare://index_basic?symbol=000984,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
510450.SH,000135.SH,上证180高贝塔指数,tushare://index_basic?symbol=000135,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
159932.SZ,399802.SZ,中证500深市指数,tushare://index_basic?symbol=399802,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
512110.SH,000816.CSI,中证细分房地产产业主题指数,tushare://index_basic?symbol=000816,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
512210.SH,H30020.CSI,中证800食品饮料指数,tushare://index_basic?symbol=H30020,tushare_index_basic_exact_query,provider_catalog_exact_name,历史区间待官方文件核验
512300.SH,H30255.CSI,中证500医药卫生指数,tushare://index_basic?symbol=H30255,tushare_index_basic_exact_query,provider_catalog_exact_name,主代码；000857.SH为交易所行情别名；历史区间待核验
