ts_code,index_code,index_name,effective_from,effective_to,evidence_url,evidence_type,change_type,notes
510070.SH,000049.SH,上证民营企业50指数,20101029,20200813,https://epaper.stcn.com/paper/zqsb/html/2014-09/17/content_612742.htm,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510260.SH,000067.SH,上证新兴产业指数,20110608,20200115,https://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/FUND/2011/2011-3/2011-03-04/116224.PDF,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510420.SH,000051.SH,上证180等权重指数,20120709,20191108,https://www.igwfmc.com/main/jjcp/product/510420/detail.html,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510610.SH,000032.SH,上证能源行业指数,20130508,20160706,https://www.zhunshangshi.com/etf/510610OF/,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510450.SH,000135.SH,上证180高贝塔指数,20130801,20160824,http://www.sse.com.cn/market/sseindex/indexlist/indexdetails/indexmethods/c1/000138_000135-000138hbook_CN.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512300.SH,H30255.CSI,中证500医药卫生指数,20141218,20210312,https://www.zhunshangshi.com/etf/512300SH/,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159946.SZ,000990.CSI,中证全指主要消费指数,20150713,20181228,https://epaper.stcn.com/paper/zqsb/page/1/2015-07/08/B077/20150708B077_pdf.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512860.SH,704843.MI,MSCI中国A股国际指数,20181026,20210430,https://www.msci.com/indexes/index/704843,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512270.SH,930846.CSI,沪深300行业中性低波动指数,20190329,20210923,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/527_930846_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159969.SZ,399330.SZ,深证100指数,20190828,20260312,https://notice.10jqka.com.cn/api/pdf/1b4cca6c9e0d7cf.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159986.SZ,399364.SZ,国证消费100指数,20200120,20221027,https://www.zhunshangshi.com/etf/159986OF/,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
515690.SH,931373.CSI,中证高股息龙头指数,20200513,20220426,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931373factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
515500.SH,931381.CSI,中证长三角领先指数,20200918,20230410,https://www.zhunshangshi.com/etf/515500SH/,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159503.SZ,CN5074.CNI,国证财富管理指数,20230720,20240719,https://docs.static.szse.cn/www/market/periodical/month/W020240513367375473651.html,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510110.SH,000063.SH,上证周期行业50指数,20101115,20230811,http://www.sse.com.cn/market/sseindex/indexlist/indexdetails/indexmethods/c1/000063_000063-000064hbook_CN.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159911.SZ,399337.SZ,深证民营指数,20111014,20200619,https://www.cnindex.com.cn/docs/gz_399337.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510430.SH,000050.SH,上证50等权重指数,20120924,20201218,http://english.sse.com.cn/indices/indices/list/indexmethods/c/000050_000050hbooken_EN.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; rename predates ETF
510620.SH,000033.SH,上证原材料行业指数,20130508,20160815,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000033factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159932.SZ,399802.SZ,中证500深市指数,20131021,20221122,http://static.cninfo.com.cn/finalpage/2014-03-29/63747955.PDF,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512310.SH,H30252.CSI,中证500工业指数,20150508,20210416,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/H30252factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159951.SZ,CN5069.CNI,中关村A股综合指数,20170710,20220824,https://www.cnindex.com.cn/zh_information/notices_news/2015/201502/P020191213391349760927.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
