boundary,old_code,old_name,new_code,new_name,version,effective_from,effective_to,relationship,handling,evidence_status,source
pre_2014_to_SW2014,801060.SI,建筑建材,,,SW2014,2014-02-21,2014-02-20,retired_into_many_to_many_resegmentation,do_not_stitch; segment_reset,code_boundary_verified; exact_successors_unresolved,official_history_api; 2014_index_adjustment_notice
pre_2014_to_SW2014,801070.SI,机械设备,,,SW2014,2014-02-21,2014-02-20,retired_into_many_to_many_resegmentation,do_not_stitch; segment_reset,code_boundary_verified; exact_successors_unresolved,official_history_api; 2014_index_adjustment_notice
pre_2014_to_SW2014,801090.SI,交运设备,,,SW2014,2014-02-21,2014-02-20,retired_into_many_to_many_resegmentation,do_not_stitch; segment_reset,code_boundary_verified; exact_successors_unresolved,official_history_api; 2014_index_adjustment_notice
pre_2014_to_SW2014,801100.SI,信息设备,,,SW2014,2014-02-21,2014-02-20,retired_into_many_to_many_resegmentation,do_not_stitch; segment_reset,code_boundary_verified; exact_successors_unresolved,official_history_api; 2014_index_adjustment_notice
pre_2014_to_SW2014,801190.SI,金融服务,,,SW2014,2014-02-21,2014-02-20,retired_into_many_to_many_resegmentation,do_not_stitch; segment_reset,code_boundary_verified; exact_successors_unresolved,official_history_api; 2014_index_adjustment_notice
pre_2014_to_SW2014,801220.SI,信息服务,,,SW2014,2014-02-21,2014-02-20,retired_into_many_to_many_resegmentation,do_not_stitch; segment_reset,code_boundary_verified; exact_successors_unresolved,official_history_api; 2014_index_adjustment_notice
pre_2014_to_SW2014,,,801710.SI,建筑材料,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801720.SI,建筑装饰,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801730.SI,电气设备,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801740.SI,国防军工,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801750.SI,计算机,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801760.SI,传媒,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801770.SI,通信,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801780.SI,银行,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801790.SI,非银金融,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801880.SI,汽车,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
pre_2014_to_SW2014,,,801890.SI,机械设备,SW2014,2014-02-21,,introduced_by_many_to_many_resegmentation,do_not_backfill; segment_reset,code_boundary_verified; exact_predecessors_unresolved,official_history_api; Tushare_index_classify_SW2014
SW2014_to_SW2021,801020.SI,采掘,,,SW2021,2021-12-13,2021-12-10,retired_into_resegmentation,do_not_stitch; segment_reset,verified,official_history_api; Tushare_boundary_quotes
SW2014_to_SW2021,,,801950.SI,煤炭,SW2021,2021-12-13,,introduced_with_backfilled_history,ignore_all_pre_effective_quotes; segment_reset,verified,Tushare_index_classify_SW2021; official_history_api
SW2014_to_SW2021,,,801960.SI,石油石化,SW2021,2021-12-13,,introduced_with_backfilled_history,ignore_all_pre_effective_quotes; segment_reset,verified,Tushare_index_classify_SW2021; official_history_api
SW2014_to_SW2021,,,801970.SI,环保,SW2021,2021-12-13,,introduced_with_backfilled_history,ignore_all_pre_effective_quotes; segment_reset,verified,Tushare_index_classify_SW2021; official_history_api
SW2014_to_SW2021,,,801980.SI,美容护理,SW2021,2021-12-13,,introduced_with_backfilled_history,ignore_all_pre_effective_quotes; segment_reset,verified,Tushare_index_classify_SW2021; official_history_api
SW2014_to_SW2021,801030.SI,化工,801030.SI,基础化工,SW2021,2021-12-13,2021-12-10,rename_with_resegmentation,do_not_compute_across_boundary; segment_reset,verified,Tushare_index_classify_SW2014_and_SW2021
SW2014_to_SW2021,801130.SI,纺织服装,801130.SI,纺织服饰,SW2021,2021-12-13,2021-12-10,rename,do_not_compute_across_boundary; segment_reset,verified,Tushare_index_classify_SW2014_and_SW2021
SW2014_to_SW2021,801200.SI,商业贸易,801200.SI,商贸零售,SW2021,2021-12-13,2021-12-10,rename,do_not_compute_across_boundary; segment_reset,verified,Tushare_index_classify_SW2014_and_SW2021
SW2014_to_SW2021,801210.SI,休闲服务,801210.SI,社会服务,SW2021,2021-12-13,2021-12-10,rename_with_resegmentation,do_not_compute_across_boundary; segment_reset,verified,Tushare_index_classify_SW2014_and_SW2021
SW2014_to_SW2021,801730.SI,电气设备,801730.SI,电力设备,SW2021,2021-12-13,2021-12-10,rename_with_resegmentation,do_not_compute_across_boundary; segment_reset,verified,Tushare_index_classify_SW2014_and_SW2021
