symbol,tdx_symbol,name,category,bucket,raw_first_date,raw_last_date,raw_rows,qfq_rows,gbbq_events,gbbq_xrxd_events,date_mismatch_count,latest_close_abs_diff,mask_true_days,mask_coverage,raw_invalid_price_rows,raw_invalid_high_rows,raw_invalid_low_rows,raw_missing_flow_rows,qfq_invalid_price_rows,qfq_invalid_high_rows,qfq_invalid_low_rows,qfq_missing_flow_rows
510050,sh510050,上证50ETF,broad,large_value,2010-01-04,2026-07-07,4007,4007,19,18,0,0.002000000000000224,4007,1.0,0,0,0,0,0,0,0,0
510300,sh510300,沪深300ETF,broad,csi300,2012-05-28,2026-07-07,3428,3428,15,14,0,0.004000000000000448,3428,0.8555028699775393,0,0,0,0,0,0,0,0
510500,sh510500,中证500ETF,broad,csi500,2013-03-15,2026-07-07,3232,3232,5,3,0,0.0030000000000001137,3232,0.8065884701771899,0,0,0,0,0,0,0,0
512100,sh512100,中证1000ETF,broad,csi1000,2016-11-04,2026-07-07,2348,2348,3,2,0,0.002000000000000224,2348,0.5859745445470427,0,0,0,0,0,0,0,0
159915,sz159915,创业板ETF,broad,chinext,2011-12-09,2026-07-07,3536,3536,1,0,0,0.0019999999999997797,3536,0.8824557025205889,0,0,0,0,0,0,0,0
588000,sh588000,科创50ETF,broad,star50,2020-11-16,2026-07-07,1367,1367,0,0,0,0.0040000000000000036,1367,0.3411529822810082,0,0,0,0,0,0,0,0
510880,sh510880,红利ETF,broad,dividend,2010-01-04,2026-07-07,4007,4007,20,19,0,0.0040000000000000036,4007,1.0,0,0,0,0,0,0,0,0
512800,sh512800,银行ETF,industry,bank,2017-08-03,2026-07-07,2165,2165,1,0,0,0.0010000000000000009,2165,0.5403044671824307,0,0,0,0,0,0,0,0
512880,sh512880,证券ETF,industry,broker,2016-08-08,2026-07-07,2405,2405,0,0,0,0.0029999999999998916,2405,0.60019965061143,0,0,0,0,0,0,0,0
512760,sh512760,半导体ETF,industry,semiconductor,2019-06-12,2026-07-07,1715,1715,2,0,0,0.0040000000000000036,1715,0.42800099825305715,0,0,0,0,0,0,0,0
512660,sh512660,军工ETF,industry,defense,2016-08-08,2026-07-07,2405,2405,0,0,0,0.0040000000000000036,2405,0.60019965061143,0,0,0,0,0,0,0,0
512010,sh512010,医药ETF,industry,pharma,2013-10-28,2026-07-07,3087,3087,1,0,0,0.0040000000000000036,3087,0.7704017968555029,0,0,0,0,0,0,0,0
159928,sz159928,消费ETF,industry,consumer,2013-09-16,2026-07-07,3110,3110,1,0,0,0.0,3110,0.7761417519341153,0,0,0,0,0,0,0,0
512400,sh512400,有色金属ETF,industry,nonferrous,2017-09-01,2026-07-07,2144,2144,2,2,0,0.0029999999999998916,2144,0.5350636386323933,0,0,0,0,0,0,0,0
515220,sh515220,煤炭ETF,industry,coal,2020-03-02,2026-07-07,1540,1540,6,5,0,0.0020000000000000018,1540,0.3843274270027452,0,0,0,0,0,0,0,0
515790,sh515790,光伏ETF,industry,solar,2020-12-18,2026-07-07,1343,1343,0,0,0,0.0030000000000000027,1343,0.3351634639381083,0,0,0,0,0,0,0,0
515030,sh515030,新能源车ETF,industry,new_energy_vehicle,2020-03-04,2026-07-07,1538,1538,0,0,0,0.0040000000000000036,1538,0.3838283004741702,0,0,0,0,0,0,0,0
