formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,year,days,total_return,ann_return,sharpe,max_drawdown,benchmark_total_return
ma_gap_5_20,5,max_holding_5,5.0,5.0,2016,41,0.00620000328091308,0.03872052408632354,0.33955577365119305,-0.06903496147156563,-0.024032540673499025
ma_gap_5_20,5,max_holding_5,5.0,5.0,2017,244,0.08627546987479695,0.08922683455056113,0.8055062285531732,-0.08733778671525572,0.09642856417468071
ma_gap_5_20,5,max_holding_5,5.0,5.0,2018,243,-0.22669514555311532,-0.23402326576972576,-1.4139640445374677,-0.2686635256147675,-0.2679822743828272
ma_gap_5_20,5,max_holding_5,5.0,5.0,2019,244,0.31046874135577807,0.3221377966044605,1.3922016543544409,-0.12914274508470236,0.4542215287708622
ma_gap_5_20,5,max_holding_5,5.0,5.0,2020,243,0.2503309848181072,0.26071962105400104,0.9329415854771614,-0.1933794009472104,0.35037504947466647
ma_gap_5_20,5,max_holding_5,5.0,5.0,2021,243,-0.11070440649186808,-0.11456036101207479,-0.28863913681052056,-0.25789379093430964,0.033965813830001856
ma_gap_5_20,5,max_holding_5,5.0,5.0,2022,242,-0.23089643586892383,-0.23919483373147532,-1.2261277245077318,-0.24714835174013838,-0.09253745381670153
ma_gap_5_20,5,max_holding_5,5.0,5.0,2023,242,-0.06902781718739581,-0.07177535013290393,-0.3858149067833123,-0.16332819556090106,-0.10275297355423241
ma_gap_5_20,5,max_holding_5,5.0,5.0,2024,242,0.019776077126850478,0.0206016320710245,0.20466582682750936,-0.17846147006881208,0.09314440208869557
ma_gap_5_20,5,max_holding_5,5.0,5.0,2025,243,0.09901531463191171,0.1028651196593462,0.55374853431324,-0.1662617494627563,0.2650811325694591
ma_gap_5_20,5,max_holding_5,5.0,5.0,2026,121,0.010649195792656663,0.02230637900221688,0.22635542426002128,-0.17986226773440583,0.012829640414746102
ma_gap_5_20,5,no_max_holding,,5.0,2016,41,0.020592379742185418,0.13346832905582673,0.9185275508302685,-0.0673203405809879,-0.024032540673499025
ma_gap_5_20,5,no_max_holding,,5.0,2017,244,0.05675072900017897,0.058664966417475206,0.5083576058581177,-0.08849214487867663,0.09642856417468071
ma_gap_5_20,5,no_max_holding,,5.0,2018,243,-0.19724747541249832,-0.20375325824950064,-1.0533452086581117,-0.27640308276492154,-0.2679822743828272
ma_gap_5_20,5,no_max_holding,,5.0,2019,244,0.4729137327452779,0.49173377039643795,1.9220375074185119,-0.10238090353880924,0.4542215287708622
ma_gap_5_20,5,no_max_holding,,5.0,2020,243,0.1792088243807055,0.186430297629405,0.7130966853128602,-0.16654781801486784,0.35037504947466647
ma_gap_5_20,5,no_max_holding,,5.0,2021,243,0.1221541637941439,0.12695434543620054,0.5361441579145179,-0.18330528653683242,0.033965813830001856
ma_gap_5_20,5,no_max_holding,,5.0,2022,242,-0.06686296676793924,-0.06952758820355232,-0.18976366328230168,-0.17362893131282675,-0.09253745381670153
ma_gap_5_20,5,no_max_holding,,5.0,2023,242,-0.11046579864541561,-0.11475815663738498,-0.6190917966834787,-0.19655531800554482,-0.10275297355423241
ma_gap_5_20,5,no_max_holding,,5.0,2024,242,-0.04299561785605155,-0.04473196502029797,-0.04929411836887705,-0.21274694224677337,0.09314440208869557
ma_gap_5_20,5,no_max_holding,,5.0,2025,243,0.20683740849550647,0.21527004135190464,0.9522169705408958,-0.15278645520244405,0.2650811325694591
ma_gap_5_20,5,no_max_holding,,5.0,2026,121,0.11143859661245359,0.2461293832202116,0.81134839084998,-0.14810724370693107,0.012829640414746102
ma_gap_5_20,10,max_holding_10,10.0,5.0,2016,41,0.019858164037499737,0.12846575488575707,0.9271241468127779,-0.06149553309348588,-0.024032540673499025
ma_gap_5_20,10,max_holding_10,10.0,5.0,2017,244,0.12004524101686775,0.12421621740981581,0.9917903966114844,-0.08380971220708577,0.09642856417468071
ma_gap_5_20,10,max_holding_10,10.0,5.0,2018,243,-0.22281913239801576,-0.23004141851573423,-1.2905075423664027,-0.2974655550569896,-0.2679822743828272
ma_gap_5_20,10,max_holding_10,10.0,5.0,2019,244,0.39612329671989777,0.41148209457849605,1.735872112045362,-0.11044684450611908,0.4542215287708622
ma_gap_5_20,10,max_holding_10,10.0,5.0,2020,243,0.18765687450332091,0.19524605723760868,0.7429684982163602,-0.17946519875913824,0.35037504947466647
ma_gap_5_20,10,max_holding_10,10.0,5.0,2021,243,0.030307652369030436,0.0314476291734227,0.25310898116237607,-0.19989318618450935,0.033965813830001856
ma_gap_5_20,10,max_holding_10,10.0,5.0,2022,242,-0.10603998290732441,-0.11017122404194268,-0.4188615373601911,-0.16734554684446212,-0.09253745381670153
ma_gap_5_20,10,max_holding_10,10.0,5.0,2023,242,-0.11479542235361972,-0.11924448302757962,-0.7450154586966368,-0.21582000205715735,-0.10275297355423241
ma_gap_5_20,10,max_holding_10,10.0,5.0,2024,242,-0.11648267334114026,-0.12099255565774891,-0.40204660094704087,-0.2304892004564938,0.09314440208869557
ma_gap_5_20,10,max_holding_10,10.0,5.0,2025,243,0.21020948719809684,0.218791628570165,0.9724166136671388,-0.1404825927667409,0.2650811325694591
ma_gap_5_20,10,max_holding_10,10.0,5.0,2026,121,0.10037926675821263,0.22044455413491226,0.7911021848740767,-0.1728690266518368,0.012829640414746102
ma_gap_5_20,10,no_max_holding,,5.0,2016,41,0.020592379742185418,0.13346832905582673,0.9185275508302685,-0.0673203405809879,-0.024032540673499025
ma_gap_5_20,10,no_max_holding,,5.0,2017,244,0.05675072900017897,0.058664966417475206,0.5083576058581177,-0.08849214487867663,0.09642856417468071
ma_gap_5_20,10,no_max_holding,,5.0,2018,243,-0.19724747541249832,-0.20375325824950064,-1.0533452086581117,-0.27640308276492154,-0.2679822743828272
ma_gap_5_20,10,no_max_holding,,5.0,2019,244,0.4729137327452779,0.49173377039643795,1.9220375074185119,-0.10238090353880924,0.4542215287708622
ma_gap_5_20,10,no_max_holding,,5.0,2020,243,0.1792088243807055,0.186430297629405,0.7130966853128602,-0.16654781801486784,0.35037504947466647
ma_gap_5_20,10,no_max_holding,,5.0,2021,243,0.1221541637941439,0.12695434543620054,0.5361441579145179,-0.18330528653683242,0.033965813830001856
ma_gap_5_20,10,no_max_holding,,5.0,2022,242,-0.06686296676793924,-0.06952758820355232,-0.18976366328230168,-0.17362893131282675,-0.09253745381670153
ma_gap_5_20,10,no_max_holding,,5.0,2023,242,-0.11046579864541561,-0.11475815663738498,-0.6190917966834787,-0.19655531800554482,-0.10275297355423241
ma_gap_5_20,10,no_max_holding,,5.0,2024,242,-0.04299561785605155,-0.04473196502029797,-0.04929411836887705,-0.21274694224677337,0.09314440208869557
ma_gap_5_20,10,no_max_holding,,5.0,2025,243,0.20683740849550647,0.21527004135190464,0.9522169705408958,-0.15278645520244405,0.2650811325694591
ma_gap_5_20,10,no_max_holding,,5.0,2026,121,0.11143859661245359,0.2461293832202116,0.81134839084998,-0.14810724370693107,0.012829640414746102
mom_10,5,max_holding_5,5.0,5.0,2016,41,0.008588564428055223,0.05396880368337342,0.4370044258191083,-0.06859340035062622,-0.024032540673499025
mom_10,5,max_holding_5,5.0,5.0,2017,244,-0.04975446397480088,-0.05134315596226591,-0.39894384821537093,-0.09098196164329031,0.09642856417468071
mom_10,5,max_holding_5,5.0,5.0,2018,243,-0.1325147944177153,-0.137070159868263,-0.6941860880210103,-0.25052115057716196,-0.2679822743828272
mom_10,5,max_holding_5,5.0,5.0,2019,244,0.3674709490963506,0.38157491834341606,1.5894699116208906,-0.13466626944680826,0.4542215287708622
mom_10,5,max_holding_5,5.0,5.0,2020,243,0.1241979284000645,0.1290829430797351,0.5645926935540111,-0.20180487476086928,0.35037504947466647
mom_10,5,max_holding_5,5.0,5.0,2021,243,-0.04661304526816468,-0.048297088501386476,-0.03176160606842427,-0.2096608931660735,0.033965813830001856
mom_10,5,max_holding_5,5.0,5.0,2022,242,-0.04940980034992426,-0.05139815263539915,-0.1536590689571602,-0.15111760216686299,-0.09253745381670153
mom_10,5,max_holding_5,5.0,5.0,2023,242,0.026202953171340804,0.027300369735971275,0.24988009100046643,-0.1187093408469918,-0.10275297355423241
mom_10,5,max_holding_5,5.0,5.0,2024,242,-0.0991861822222817,-0.10306606804717777,-0.23676539817001527,-0.21120045045914304,0.09314440208869557
mom_10,5,max_holding_5,5.0,5.0,2025,243,0.14143396096269356,0.14704008957404824,0.7091227723272494,-0.18376902653238925,0.2650811325694591
mom_10,5,max_holding_5,5.0,5.0,2026,121,-0.07318138991318868,-0.14638549874248907,-0.3566960503375439,-0.2796411837982309,0.012829640414746102
mom_10,5,no_max_holding,,5.0,2016,41,0.038496915012003585,0.2613395893053987,1.6236698494970285,-0.06093042476485899,-0.024032540673499025
mom_10,5,no_max_holding,,5.0,2017,244,0.03111716947343801,0.032153636394796736,0.3167906548812817,-0.09482425330476263,0.09642856417468071
mom_10,5,no_max_holding,,5.0,2018,243,-0.1851273422660239,-0.19128262599691614,-0.9715261253394345,-0.28566850461541726,-0.2679822743828272
mom_10,5,no_max_holding,,5.0,2019,244,0.40646701283900444,0.4222837800203285,1.66974122352318,-0.14348711996367924,0.4542215287708622
mom_10,5,no_max_holding,,5.0,2020,243,0.153378836427275,0.1594906119778461,0.6204075682160457,-0.21354448841837181,0.35037504947466647
mom_10,5,no_max_holding,,5.0,2021,243,0.1589873253000611,0.16533816856843742,0.6514023522268685,-0.19354503434976666,0.033965813830001856
mom_10,5,no_max_holding,,5.0,2022,242,-0.06801626110228809,-0.07072507935828909,-0.23311551814475734,-0.15790063150072708,-0.09253745381670153
mom_10,5,no_max_holding,,5.0,2023,242,0.03195432750749849,0.03329650182065946,0.27877169469340557,-0.12739147503422543,-0.10275297355423241
mom_10,5,no_max_holding,,5.0,2024,242,0.0019472759348271307,0.002027823413915719,0.14885579851222258,-0.1902380299412626,0.09314440208869557
mom_10,5,no_max_holding,,5.0,2025,243,0.15010369194568196,0.15607634773222157,0.7229037951267107,-0.20042308116555851,0.2650811325694591
mom_10,5,no_max_holding,,5.0,2026,121,0.07627135721188427,0.16541801995799,0.6119802050883008,-0.22963679413867466,0.012829640414746102
mom_10,10,max_holding_10,10.0,5.0,2016,41,0.043429699383755294,0.29861703258201033,1.9196444826450618,-0.05235974614300809,-0.024032540673499025
mom_10,10,max_holding_10,10.0,5.0,2017,244,0.03858287825765183,0.03987278699345009,0.3819872076356925,-0.08829242714857666,0.09642856417468071
mom_10,10,max_holding_10,10.0,5.0,2018,243,-0.12899296779306124,-0.13343680132052882,-0.6217432010629744,-0.26994330251514653,-0.2679822743828272
mom_10,10,max_holding_10,10.0,5.0,2019,244,0.37816029925877115,0.3927300284011863,1.5832565308801008,-0.14122187548482157,0.4542215287708622
mom_10,10,max_holding_10,10.0,5.0,2020,243,0.13921818934862817,0.14473104962720784,0.5984201368908127,-0.22938086228577947,0.35037504947466647
mom_10,10,max_holding_10,10.0,5.0,2021,243,-0.04715470639206276,-0.04885781303236236,-0.027969032452018518,-0.19543553101475997,0.033965813830001856
mom_10,10,max_holding_10,10.0,5.0,2022,242,-0.06954152337308273,-0.07230869904135007,-0.2476812391893366,-0.17351391823436746,-0.09253745381670153
mom_10,10,max_holding_10,10.0,5.0,2023,242,0.027370348677957512,0.028517333312908955,0.25573116428292875,-0.11837540317909168,-0.10275297355423241
mom_10,10,max_holding_10,10.0,5.0,2024,242,0.04537457842773818,0.04729322867113139,0.3029291183308556,-0.1854234789019975,0.09314440208869557
mom_10,10,max_holding_10,10.0,5.0,2025,243,0.17404629919463588,0.18104421889009825,0.8397740517134105,-0.18821333997624878,0.2650811325694591
mom_10,10,max_holding_10,10.0,5.0,2026,121,0.05042588596390529,0.10788981067904091,0.4803267216361145,-0.21744454838774985,0.012829640414746102
mom_10,10,no_max_holding,,5.0,2016,41,0.038496915012003585,0.2613395893053987,1.6236698494970285,-0.06093042476485899,-0.024032540673499025
mom_10,10,no_max_holding,,5.0,2017,244,0.03111716947343801,0.032153636394796736,0.3167906548812817,-0.09482425330476263,0.09642856417468071
mom_10,10,no_max_holding,,5.0,2018,243,-0.1851273422660239,-0.19128262599691614,-0.9715261253394345,-0.28566850461541726,-0.2679822743828272
mom_10,10,no_max_holding,,5.0,2019,244,0.40646701283900444,0.4222837800203285,1.66974122352318,-0.14348711996367924,0.4542215287708622
mom_10,10,no_max_holding,,5.0,2020,243,0.153378836427275,0.1594906119778461,0.6204075682160457,-0.21354448841837181,0.35037504947466647
mom_10,10,no_max_holding,,5.0,2021,243,0.1589873253000611,0.16533816856843742,0.6514023522268685,-0.19354503434976666,0.033965813830001856
mom_10,10,no_max_holding,,5.0,2022,242,-0.06801626110228809,-0.07072507935828909,-0.23311551814475734,-0.15790063150072708,-0.09253745381670153
mom_10,10,no_max_holding,,5.0,2023,242,0.03195432750749849,0.03329650182065946,0.27877169469340557,-0.12739147503422543,-0.10275297355423241
mom_10,10,no_max_holding,,5.0,2024,242,0.0019472759348271307,0.002027823413915719,0.14885579851222258,-0.1902380299412626,0.09314440208869557
mom_10,10,no_max_holding,,5.0,2025,243,0.15010369194568196,0.15607634773222157,0.7229037951267107,-0.20042308116555851,0.2650811325694591
mom_10,10,no_max_holding,,5.0,2026,121,0.07627135721188427,0.16541801995799,0.6119802050883008,-0.22963679413867466,0.012829640414746102
reversal_5,5,max_holding_5,5.0,5.0,2016,41,-0.0053163680401966396,-0.032232476083361994,-0.22579511654445475,-0.03557038811269797,-0.024032540673499025
reversal_5,5,max_holding_5,5.0,5.0,2017,244,-0.06552993188763057,-0.06760416235851319,-0.5139421218614811,-0.1274387789735255,0.09642856417468071
reversal_5,5,max_holding_5,5.0,5.0,2018,243,-0.16904957653184471,-0.17472932360305982,-0.6996433587562046,-0.25313371944472374,-0.2679822743828272
reversal_5,5,max_holding_5,5.0,5.0,2019,244,0.29228902358251574,0.30319916125498025,1.4657612074069446,-0.1379567750197015,0.4542215287708622
reversal_5,5,max_holding_5,5.0,5.0,2020,243,0.19762789483716992,0.2056540633008801,0.8958870617285656,-0.21718834866200143,0.35037504947466647
reversal_5,5,max_holding_5,5.0,5.0,2021,243,-0.20224259974583636,-0.2088908123772526,-0.4717913720057142,-0.32526576848167,0.033965813830001856
reversal_5,5,max_holding_5,5.0,5.0,2022,242,-0.07327762705549756,-0.07618729467998597,-0.1714886259680516,-0.21441296534017928,-0.09253745381670153
reversal_5,5,max_holding_5,5.0,5.0,2023,242,-0.12681466597784874,-0.13169397557620444,-0.8159231200490363,-0.20558754294142023,-0.10275297355423241
reversal_5,5,max_holding_5,5.0,5.0,2024,242,-0.06385165064688181,-0.06640058356581202,-0.175895448219072,-0.2050973575666114,0.09314440208869557
reversal_5,5,max_holding_5,5.0,5.0,2025,243,-0.017078330998595015,-0.017705229477618434,0.06944809604312037,-0.20062855382530076,0.2650811325694591
reversal_5,5,max_holding_5,5.0,5.0,2026,121,-0.25709421364916496,-0.46148122522941526,-1.763989867042912,-0.29048836661144795,0.012829640414746102
reversal_5,5,no_max_holding,,5.0,2016,41,-0.014514176923406286,-0.08594343210284994,-0.6244759451231905,-0.044488439004889524,-0.024032540673499025
reversal_5,5,no_max_holding,,5.0,2017,244,-0.03934117597027875,-0.04060450715529618,-0.2686884807281443,-0.10961547585080478,0.09642856417468071
reversal_5,5,no_max_holding,,5.0,2018,243,-0.1388734258765415,-0.1436287763707641,-0.5272512973505253,-0.23559873087444239,-0.2679822743828272
reversal_5,5,no_max_holding,,5.0,2019,244,0.3016396393148846,0.31293903781702115,1.506088354914296,-0.13469474481064658,0.4542215287708622
reversal_5,5,no_max_holding,,5.0,2020,243,0.22372779385458275,0.23291293825536097,0.9840767324556189,-0.21211355356644124,0.35037504947466647
reversal_5,5,no_max_holding,,5.0,2021,243,-0.23446967083359238,-0.242007841848497,-0.5888910429897611,-0.3433477200127312,0.033965813830001856
reversal_5,5,no_max_holding,,5.0,2022,242,-0.0638276998305437,-0.06637571094090378,-0.12757908518142047,-0.2155877271537031,-0.09253745381670153
reversal_5,5,no_max_holding,,5.0,2023,242,-0.15128615855041683,-0.15701948461745263,-0.9922592482786942,-0.2213687499238256,-0.10275297355423241
reversal_5,5,no_max_holding,,5.0,2024,242,-0.05113436428875351,-0.05319015599840504,-0.11833639131968494,-0.21516168312332806,0.09314440208869557
reversal_5,5,no_max_holding,,5.0,2025,243,-0.04427252061421205,-0.04587405505992703,-0.04349241309103027,-0.21805745164684176,0.2650811325694591
reversal_5,5,no_max_holding,,5.0,2026,121,-0.23137291723471753,-0.4219220809614538,-1.5257195682705216,-0.2808228106108629,0.012829640414746102
reversal_5,10,max_holding_10,10.0,5.0,2016,41,-0.014514176923406286,-0.08594343210284994,-0.6244759451231905,-0.044488439004889524,-0.024032540673499025
reversal_5,10,max_holding_10,10.0,5.0,2017,244,-0.029085843770224606,-0.03002501838424476,-0.18356391818623594,-0.10015541553910978,0.09642856417468071
reversal_5,10,max_holding_10,10.0,5.0,2018,243,-0.13887342587654117,-0.14362877637076377,-0.5272512973505249,-0.23559873087444183,-0.2679822743828272
reversal_5,10,max_holding_10,10.0,5.0,2019,244,0.30163963931488436,0.3129390378170209,1.5060883549142967,-0.13469474481064658,0.4542215287708622
reversal_5,10,max_holding_10,10.0,5.0,2020,243,0.22372779385458386,0.23291293825536208,0.9840767324556196,-0.21211355356644135,0.35037504947466647
reversal_5,10,max_holding_10,10.0,5.0,2021,243,-0.23446967083359327,-0.242007841848498,-0.5888910429897656,-0.3433477200127315,0.033965813830001856
reversal_5,10,max_holding_10,10.0,5.0,2022,242,-0.06382769983054404,-0.06637571094090411,-0.12757908518141997,-0.21558772715370356,-0.09253745381670153
reversal_5,10,max_holding_10,10.0,5.0,2023,242,-0.1512861585504155,-0.1570194846174513,-0.9922592482786842,-0.22136874992382483,-0.10275297355423241
reversal_5,10,max_holding_10,10.0,5.0,2024,242,-0.05113436428875462,-0.05319015599840615,-0.11833639131969095,-0.21516168312332784,0.09314440208869557
reversal_5,10,max_holding_10,10.0,5.0,2025,243,-0.048059526388271046,-0.04979445123860249,-0.05932486424495985,-0.22115584633514662,0.2650811325694591
reversal_5,10,max_holding_10,10.0,5.0,2026,121,-0.22838606609859635,-0.4172338160167781,-1.5007574513667763,-0.27802811959181717,0.012829640414746102
reversal_5,10,no_max_holding,,5.0,2016,41,-0.014514176923406286,-0.08594343210284994,-0.6244759451231905,-0.044488439004889524,-0.024032540673499025
reversal_5,10,no_max_holding,,5.0,2017,244,-0.03934117597027875,-0.04060450715529618,-0.2686884807281443,-0.10961547585080478,0.09642856417468071
reversal_5,10,no_max_holding,,5.0,2018,243,-0.1388734258765415,-0.1436287763707641,-0.5272512973505253,-0.23559873087444239,-0.2679822743828272
reversal_5,10,no_max_holding,,5.0,2019,244,0.3016396393148846,0.31293903781702115,1.506088354914296,-0.13469474481064658,0.4542215287708622
reversal_5,10,no_max_holding,,5.0,2020,243,0.22372779385458275,0.23291293825536097,0.9840767324556189,-0.21211355356644124,0.35037504947466647
reversal_5,10,no_max_holding,,5.0,2021,243,-0.23446967083359238,-0.242007841848497,-0.5888910429897611,-0.3433477200127312,0.033965813830001856
reversal_5,10,no_max_holding,,5.0,2022,242,-0.0638276998305437,-0.06637571094090378,-0.12757908518142047,-0.2155877271537031,-0.09253745381670153
reversal_5,10,no_max_holding,,5.0,2023,242,-0.15128615855041683,-0.15701948461745263,-0.9922592482786942,-0.2213687499238256,-0.10275297355423241
reversal_5,10,no_max_holding,,5.0,2024,242,-0.05113436428875351,-0.05319015599840504,-0.11833639131968494,-0.21516168312332806,0.09314440208869557
reversal_5,10,no_max_holding,,5.0,2025,243,-0.04427252061421205,-0.04587405505992703,-0.04349241309103027,-0.21805745164684176,0.2650811325694591
reversal_5,10,no_max_holding,,5.0,2026,121,-0.23137291723471753,-0.4219220809614538,-1.5257195682705216,-0.2808228106108629,0.012829640414746102
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2016,41,-0.030891406239099917,-0.17540557870942397,-1.925306268775783,-0.05845035956493805,-0.024032540673499025
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2017,244,0.12038492223083219,0.12456834388803695,1.0944599720147656,-0.06591971035728461,0.09642856417468071
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2018,243,-0.20570856844618934,-0.21245490923924315,-1.5988618670401507,-0.231122329600997,-0.2679822743828272
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2019,244,0.31893656026654926,0.3309620554167112,1.4865964783721535,-0.09211810222354477,0.4542215287708622
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2020,243,0.09831864088176645,0.10214012088519797,0.5003722829718128,-0.2046177308106576,0.35037504947466647
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2021,243,-0.14000201077006857,-0.14479266929719148,-0.4753134968934524,-0.18276629000432076,0.033965813830001856
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2022,242,-0.07233931712166042,-0.07521325902620546,-0.36467327890709267,-0.16520141208705752,-0.09253745381670153
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2023,242,-0.14344605595961202,-0.14890901858215633,-1.298955415322821,-0.21426795301842072,-0.10275297355423241
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2024,242,-0.29902221460161815,-0.3092380644000132,-1.0506644666815181,-0.32888583292419693,0.09314440208869557
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2025,243,-0.010350942945917319,-0.010732246734725615,0.031489241845577894,-0.15036013619318223,0.2650811325694591
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2026,121,-0.03296488173286127,-0.0674301475783794,-0.11249559618118782,-0.19645333155094102,0.012829640414746102
volume_confirmed_mom_10,5,no_max_holding,,5.0,2016,41,-0.023895752128463954,-0.13813335086268874,-1.4388692186394196,-0.058320374035956135,-0.024032540673499025
volume_confirmed_mom_10,5,no_max_holding,,5.0,2017,244,0.09720658583709674,0.10054888230728798,0.8819747883678476,-0.07577810929559292,0.09642856417468071
volume_confirmed_mom_10,5,no_max_holding,,5.0,2018,243,-0.22671447345118256,-0.23404311956479562,-1.656196736828644,-0.2693309000043498,-0.2679822743828272
volume_confirmed_mom_10,5,no_max_holding,,5.0,2019,244,0.4017417175367839,0.417348947372536,1.7256094363708243,-0.09946367345030327,0.4542215287708622
volume_confirmed_mom_10,5,no_max_holding,,5.0,2020,243,0.0714096129793711,0.07415017381450784,0.3977315861594802,-0.22077428209442185,0.35037504947466647
volume_confirmed_mom_10,5,no_max_holding,,5.0,2021,243,-0.040884256463552204,-0.042365957687259814,-0.02096506550086353,-0.16939368040612057,0.033965813830001856
volume_confirmed_mom_10,5,no_max_holding,,5.0,2022,242,-0.07533256620101159,-0.07832033228224355,-0.37885719950103086,-0.15519873045206767,-0.09253745381670153
