formula,horizon,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
ma_gap_5_20,5,2342,0.0030334993339984633,0.001961652733590405,0.5286080273270709,0.15288836643352255,3.5029888983774553,max_holding_5,5.0,5.0,2348,0.107817585894878,0.011049857974350319,0.16210093298458436,-0.4630195389169026,2627,1312,0.20515224765387496,0.874150570584729,0.06974150244931265
ma_gap_5_20,5,2342,0.0030334993339984633,0.001961652733590405,0.5286080273270709,0.15288836643352255,3.5029888983774553,no_max_holding,,5.0,2348,0.946046675453944,0.07407221901494498,0.41523136013926587,-0.38760226265915243,1213,605,0.1275534550120823,0.874150570584729,0.06974150244931265
ma_gap_5_20,10,2337,0.005482205089474945,0.00246757871611795,0.5241762943945228,0.13815156825476863,3.501925545571245,max_holding_10,10.0,5.0,2348,0.5268405710550617,0.046467459822585155,0.3116301618016471,-0.43127036831177634,1763,880,0.15368578834357804,0.874150570584729,0.06974150244931265
ma_gap_5_20,10,2337,0.005482205089474945,0.00246757871611795,0.5241762943945228,0.13815156825476863,3.501925545571245,no_max_holding,,5.0,2348,0.946046675453944,0.07407221901494498,0.41523136013926587,-0.38760226265915243,1213,605,0.1275534550120823,0.874150570584729,0.06974150244931265
mom_10,5,2342,0.0029553769312223185,0.002197864240547169,0.5290350128095644,0.14895099733360484,3.5029888983774553,max_holding_5,5.0,5.0,2348,0.2112138595514328,0.020778954692862506,0.20449616350553165,-0.35190338088088446,3247,1622,0.2018833868053081,0.874150570584729,0.06974150244931265
mom_10,5,2342,0.0029553769312223185,0.002197864240547169,0.5290350128095644,0.14895099733360484,3.5029888983774553,no_max_holding,,5.0,2348,1.0570943336687764,0.08048844783603237,0.436805739065611,-0.290297499168649,2117,1057,0.14949059895576225,0.874150570584729,0.06974150244931265
mom_10,10,2337,0.00561005834449809,0.0031238526397171507,0.5327342747111682,0.1413734702813519,3.501925545571245,max_holding_10,10.0,5.0,2348,0.8300463167071461,0.06701086936724887,0.3915020120479834,-0.29808827944503313,2465,1231,0.16512026749421368,0.874150570584729,0.06974150244931265
mom_10,10,2337,0.00561005834449809,0.0031238526397171507,0.5327342747111682,0.1413734702813519,3.501925545571245,no_max_holding,,5.0,2348,1.0570943336687764,0.08048844783603237,0.436805739065611,-0.290297499168649,2117,1057,0.14949059895576225,0.874150570584729,0.06974150244931265
reversal_5,5,2342,0.0014318356181834688,0.00043478230832901443,0.5076857386848848,0.07216451515644683,3.5029888983774553,max_holding_5,5.0,5.0,2348,-0.4599610293050389,-0.06398583439626393,-0.1491158589982417,-0.5789136923868897,4125,2061,0.23679791844433296,0.874150570584729,0.06974150244931265
reversal_5,5,2342,0.0014318356181834688,0.00043478230832901443,0.5076857386848848,0.07216451515644683,3.5029888983774553,no_max_holding,,5.0,2348,-0.43367887914285785,-0.05919987606385446,-0.12576219864889834,-0.5942302910387027,3897,1947,0.22486213324689033,0.874150570584729,0.06974150244931265
reversal_5,10,2337,0.001366963699867342,0.0018357810413884474,0.5151904150620453,0.03444748523665701,3.501925545571245,max_holding_10,10.0,5.0,2348,-0.42768581058874666,-0.05813636068579753,-0.12118659562720932,-0.5942675708666323,3901,1949,0.22485117668017218,0.874150570584729,0.06974150244931265
reversal_5,10,2337,0.001366963699867342,0.0018357810413884474,0.5151904150620453,0.03444748523665701,3.501925545571245,no_max_holding,,5.0,2348,-0.43367887914285785,-0.05919987606385446,-0.12576219864889834,-0.5942302910387027,3897,1947,0.22486213324689033,0.874150570584729,0.06974150244931265
volume_confirmed_mom_10,5,2342,0.00243383884168023,0.0019348125853934778,0.5269000853970965,0.12266547762068361,3.5029888983774553,max_holding_5,5.0,5.0,2348,-0.4091463681334765,-0.05490820301091426,-0.16234546766519908,-0.6151708725658058,4472,2235,0.3534769374494204,0.874150570584729,0.06974150244931265
volume_confirmed_mom_10,5,2342,0.00243383884168023,0.0019348125853934778,0.5269000853970965,0.12266547762068361,3.5029888983774553,no_max_holding,,5.0,2348,-0.340516496688654,-0.043695954126594994,-0.09532856728404662,-0.5965630076378297,4161,2079,0.33399226030994733,0.874150570584729,0.06974150244931265
volume_confirmed_mom_10,10,2337,0.004948894472241368,0.0027359627729655798,0.5310226786478391,0.12471214070048246,3.501925545571245,max_holding_10,10.0,5.0,2348,-0.3274701920559905,-0.04168325945879414,-0.08830412460019237,-0.5886494015868735,4217,2107,0.3369904168427457,0.874150570584729,0.06974150244931265
volume_confirmed_mom_10,10,2337,0.004948894472241368,0.0027359627729655798,0.5310226786478391,0.12471214070048246,3.501925545571245,no_max_holding,,5.0,2348,-0.340516496688654,-0.043695954126594994,-0.09532856728404662,-0.5965630076378297,4161,2079,0.33399226030994733,0.874150570584729,0.06974150244931265
