formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,tail,symbol,reason,trade_count,mean_pnl_pct,total_pnl_cash,mean_holding_days
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,159915,max_holding,2,-0.05368144513414855,-0.043313602950324895,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,159915,signal_nonpositive,1,-0.06557367703980707,-0.028855640071049956,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,159915,stop_loss,4,-0.0673752230021256,-0.09626350900105429,3.25
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,159928,max_holding,1,-0.04746463977313687,-0.015719622215964898,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,159928,signal_nonpositive,1,-0.06933503932073055,-0.02553452682806075,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,159928,stop_loss,7,-0.05892107185308221,-0.15813556957734332,3.5714285714285716
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,510050,signal_nonpositive,1,-0.09684456664656592,-0.036476889009974936,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,510050,stop_loss,1,-0.0552438712770311,-0.01935987018155682,2.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,510300,stop_loss,1,-0.05696591480170273,-0.02023654072660154,4.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,510500,stop_loss,1,-0.06449529472551854,-0.020695215913550283,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,510880,signal_nonpositive,1,-0.05762301035716954,-0.022921886967846253,2.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,510880,stop_loss,5,-0.07243406682773329,-0.14890111470581774,2.8
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512010,max_holding,2,-0.06468578210894546,-0.0479068969389423,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512010,rank_exit,1,-0.07461006338935779,-0.031245324488126995,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512010,signal_nonpositive,2,-0.0647320902716461,-0.042676204880569515,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512010,stop_loss,3,-0.07765504811124489,-0.0817497777747807,2.3333333333333335
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512100,max_holding,1,-0.05499952726339541,-0.021399985777368295,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512100,signal_nonpositive,2,-0.1086677652310026,-0.082952481132613,3.5
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512100,stop_loss,5,-0.06867158838596546,-0.13010416684670362,3.4
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512400,max_holding,3,-0.049665873993867383,-0.051381274420199685,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512400,rank_exit,1,-0.08518493562207669,-0.02965105756451925,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512400,signal_nonpositive,2,-0.0838358770925097,-0.05873149081708462,3.5
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512400,stop_loss,9,-0.07377157744347837,-0.2734843102769593,3.3333333333333335
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512660,rank_exit,1,-0.05776089228113222,-0.022458334331412543,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512660,signal_nonpositive,1,-0.05223029510885569,-0.017215538627757532,4.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512660,stop_loss,7,-0.06769359090015904,-0.215571415759814,2.5714285714285716
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512760,rank_exit,1,-0.05388776200135209,-0.026094321061246217,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512760,signal_nonpositive,1,-0.06343703148425785,-0.021261074170982663,2.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512760,stop_loss,14,-0.06504355236486258,-0.3437266675220406,3.0714285714285716
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512800,signal_nonpositive,1,-0.05413782470466896,-0.018135127045256272,4.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512800,stop_loss,2,-0.0818412636424236,-0.05750188559917464,2.5
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512880,max_holding,1,-0.058634144466228395,-0.021178634967306077,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512880,signal_nonpositive,2,-0.06384736929817902,-0.043613718326418874,4.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,512880,stop_loss,3,-0.06443795579137988,-0.06960409517629149,2.3333333333333335
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515030,rank_exit,5,-0.056177342398785204,-0.131758431832215,3.8
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515030,signal_nonpositive,1,-0.05385666954882343,-0.01805384197241961,4.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515030,stop_loss,4,-0.06393086073426082,-0.115892519882796,1.75
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515220,rank_exit,3,-0.07254668920335137,-0.08400168037632953,4.333333333333333
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515220,signal_nonpositive,6,-0.06455089233682652,-0.1467357298966673,3.8333333333333335
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515220,stop_loss,6,-0.07164168666151748,-0.19764649293463268,2.6666666666666665
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515790,signal_nonpositive,2,-0.06511118067339952,-0.05018908623632777,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,515790,stop_loss,8,-0.06238314002741153,-0.2025277338040866,3.5
ma_gap_5_20,5,max_holding_5,5.0,5.0,left_tail,588000,stop_loss,6,-0.08011586609205835,-0.1676901675663525,2.8333333333333335
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,159915,max_holding,5,0.06653157663549988,0.10948964210541963,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,159915,rank_exit,1,0.050231294609105796,0.019155470623249404,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,159915,signal_nonpositive,1,0.05359069099330111,0.018961822142535723,2.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,159928,max_holding,6,0.06791722467031844,0.13954643971923647,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,159928,rank_exit,1,0.05010026955831545,0.018850606937640745,2.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,510050,max_holding,1,0.05608624259298926,0.016225315716728007,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,510500,max_holding,1,0.05032529606756256,0.017114612940637403,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,510880,max_holding,5,0.058715972270837545,0.11061775044751332,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512010,max_holding,9,0.06675555483788216,0.22200614461640203,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512100,max_holding,6,0.06421076208566052,0.1250701435496964,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512400,max_holding,11,0.08915073963239706,0.3842909037558078,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512400,rank_exit,1,0.16012961261304837,0.04798136007441307,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512660,max_holding,10,0.07965649727334058,0.3286255213676199,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512760,max_holding,21,0.09427928792370176,0.6922354574335177,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512760,rank_exit,2,0.052698578560647524,0.036403075205696855,4.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512760,signal_nonpositive,1,0.0534914361001317,0.019767978881953353,3.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512800,max_holding,1,0.06315649514692175,0.020176647132929514,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,512880,max_holding,7,0.1377656294867759,0.31940286715919786,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,515030,max_holding,12,0.08113767245800345,0.38918668982131355,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,515220,max_holding,16,0.07411117896607322,0.4885126403229237,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,515790,max_holding,7,0.09091022966620477,0.2650307262413731,5.0
ma_gap_5_20,5,max_holding_5,5.0,5.0,right_tail,588000,max_holding,7,0.09991999311706805,0.23939453472670014,5.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,159915,stop_loss,4,-0.06367266599534246,-0.13277960105256606,4.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,159928,signal_nonpositive,2,-0.06374037729934233,-0.05808819047061489,7.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,159928,stop_loss,2,-0.06460770379274836,-0.056818695402649826,7.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,510050,signal_nonpositive,1,-0.08331414816936096,-0.029309237472155306,17.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,510050,stop_loss,2,-0.06641242890030274,-0.04550735886671897,7.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,510300,signal_nonpositive,2,-0.05760836397367397,-0.050007063811888325,10.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,510500,rank_exit,1,-0.11083725153130254,-0.049456851886669886,10.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,510500,signal_nonpositive,1,-0.06116117852325814,-0.021151388232007202,6.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,510880,stop_loss,1,-0.0719344469776946,-0.02337816281863594,10.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512010,rank_exit,2,-0.06281936988495007,-0.047861313339556635,4.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512010,signal_nonpositive,1,-0.08199954077015537,-0.040842490615719616,3.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512010,stop_loss,2,-0.07619941994411597,-0.0656106745332911,4.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512100,signal_nonpositive,2,-0.05735221025850713,-0.055088626105956426,8.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512100,stop_loss,1,-0.07398583813116279,-0.037573933354780965,4.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512400,rank_exit,1,-0.06930722672851602,-0.040083773093271005,8.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512400,signal_nonpositive,2,-0.06522096094809751,-0.06623789392330753,6.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512400,stop_loss,5,-0.07105283161771588,-0.19386631493308906,3.6
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512660,rank_exit,1,-0.057760892281132195,-0.026666208854046483,3.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512660,signal_nonpositive,1,-0.05938264633916792,-0.03556448656178725,10.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512660,stop_loss,3,-0.06630342788064772,-0.09299790174918834,3.3333333333333335
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512760,stop_loss,7,-0.06411026202738966,-0.22061658629540792,3.7142857142857144
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512800,rank_exit,1,-0.06266619776531493,-0.03935756723041874,6.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512800,signal_nonpositive,2,-0.06272209792050545,-0.051661569859348624,12.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512880,signal_nonpositive,1,-0.07957257326392997,-0.03936226173239225,5.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,512880,stop_loss,1,-0.0766813562915512,-0.03929051975673868,4.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,515030,rank_exit,1,-0.061667546793405165,-0.03700391760040326,5.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,515030,stop_loss,1,-0.0697138203385078,-0.03865597092556438,9.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,515220,rank_exit,2,-0.06178440886063357,-0.05998345452487634,5.5
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,515220,stop_loss,3,-0.080995999157292,-0.12190380878875182,4.0
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,515790,stop_loss,4,-0.05878409415666407,-0.13073384422860784,4.75
ma_gap_5_20,5,no_max_holding,,5.0,left_tail,588000,stop_loss,1,-0.12368377214901306,-0.05144632233107644,2.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,159915,rank_exit,4,0.11835575108015098,0.19769933716668636,19.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,159915,signal_nonpositive,1,0.1545335116872701,0.06131188295142269,4.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,159928,rank_exit,4,0.11281747560739283,0.15708187175311228,26.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,159928,signal_nonpositive,1,0.07679152227165102,0.02795176637821498,27.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,510050,rank_exit,2,0.08032157701636995,0.050690736900566476,17.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,510300,rank_exit,1,0.09813795392380148,0.028660915121919338,18.0
ma_gap_5_20,5,no_max_holding,,5.0,right_tail,510500,rank_exit,1,0.07165508155013411,0.023808608625177523,12.0
