formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,sell_count,win_rate,mean_pnl_pct,median_pnl_pct,p05_pnl_pct,p95_pnl_pct,mean_holding_days,median_holding_days,total_pnl_cash
ma_gap_5_20,5,max_holding_5,5.0,5.0,1312,0.42835365853658536,0.0007667373535403776,-0.000999500249875081,-0.06248929974249106,0.06763754400551257,4.271341463414634,5.0,0.11500257685611553
ma_gap_5_20,5,no_max_holding,,5.0,605,0.3834710743801653,0.004060397178757034,-0.008212500248070867,-0.06335946933365606,0.10802550861945717,10.117355371900826,8.0,0.8474632699093582
ma_gap_5_20,10,max_holding_10,10.0,5.0,880,0.4375,0.0020637176954906196,-0.0009995002498750971,-0.06443146297445858,0.09236839087347999,6.775,8.0,0.5001779800388582
ma_gap_5_20,10,no_max_holding,,5.0,605,0.3834710743801653,0.004060397178757034,-0.008212500248070867,-0.06335946933365606,0.10802550861945717,10.117355371900826,8.0,0.8474632699093582
mom_10,5,max_holding_5,5.0,5.0,1622,0.3964241676942047,0.0007905334026465515,-0.0009995002498751192,-0.05178833296778136,0.06525020610794283,3.4648581997533907,4.0,0.2065598641248143
mom_10,5,no_max_holding,,5.0,1057,0.36045411542100286,0.0025634412291182353,-0.004685848957440082,-0.05142343439286052,0.08701155970687222,5.643330179754021,4.0,0.8574148042828422
mom_10,10,max_holding_10,10.0,5.0,1231,0.3728675873273761,0.0022136538239485065,-0.0032960531228636344,-0.05588963759878308,0.0793271017955022,4.779041429731925,4.0,0.8843852355405717
mom_10,10,no_max_holding,,5.0,1057,0.36045411542100286,0.0025634412291182353,-0.004685848957440082,-0.05142343439286052,0.08701155970687222,5.643330179754021,4.0,0.8574148042828422
reversal_5,5,max_holding_5,5.0,5.0,2061,0.47889374090247455,-0.0005023417069768636,-0.0009995002498749926,-0.05728121854565644,0.04525052288670461,2.6132945172246482,2.0,-0.46045256936835555
reversal_5,5,no_max_holding,,5.0,1947,0.48638931689779147,-0.0004519506208626848,-0.0009995002498749783,-0.06024342819174215,0.04697315713915843,2.8120184899845917,2.0,-0.43419434105340077
reversal_5,10,max_holding_10,10.0,5.0,1949,0.48589020010261674,-0.0004353340251727445,-0.000999500249874987,-0.06015178790533061,0.04691584213630422,2.8091328886608515,2.0,-0.42820672735246995
reversal_5,10,no_max_holding,,5.0,1947,0.48638931689779147,-0.0004519506208626848,-0.0009995002498749783,-0.06024342819174215,0.04697315713915843,2.8120184899845917,2.0,-0.43419434105340077
volume_confirmed_mom_10,5,max_holding_5,5.0,5.0,2235,0.39507829977628633,-0.0004549635729686848,-0.0009995002498750837,-0.037999518759138935,0.04474234670156673,2.03668903803132,1.0,-0.41015241569951655
volume_confirmed_mom_10,5,no_max_holding,,5.0,2079,0.38672438672438675,-0.00032667330193528844,-0.000999500249875088,-0.037552761634013665,0.04281631114267435,2.242424242424242,1.0,-0.34670757212904035
volume_confirmed_mom_10,10,max_holding_10,10.0,5.0,2107,0.3853820598006645,-0.00026816076456138586,-0.0009995002498750837,-0.03785415441227037,0.044409613375130524,2.2083531086853347,1.0,-0.3191080899054186
volume_confirmed_mom_10,10,no_max_holding,,5.0,2079,0.38672438672438675,-0.00032667330193528844,-0.000999500249875088,-0.037552761634013665,0.04281631114267435,2.242424242424242,1.0,-0.34670757212904035
