formula_id,source,vocab_version,token_ids,token_names,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula,reloaded_reward,reward_abs_diff
random_000175,random,phase3a-v1,1 24 13 23 1 3 3 14 19 9 19 11 10,high DECAY ABS RET10 high close close SIGN MA10 SUB MA10 DIV MUL,13,10,True,,0.006514199735123583,42997,0.991239597021463,102188835447561.48,2337.0,0.006514199735123583,0.0039215686274509665,0.535729567821994,0.1641578333251143,3.501925545571245,random_000175,0.006514199735123583,0.0
random_000261,random,phase3a-v1,5 3 11 5 9,amount close DIV amount SUB,5,10,True,,0.00636453989341806,43377,1.0,987435667.7719283,2337.0,0.00636453989341806,0.002373740449188033,0.5228925973470261,0.16038640531413512,3.501925545571245,random_000261,0.00636453989341806,0.0
random_000064,random,phase3a-v1,0 23 1 21 15 22 20 19 16 9 2 9,open RET10 high STD10 DELAY1 RET5 MA20 MA10 DELAY5 SUB low SUB,12,10,True,,0.0063560988958359654,42117,0.9709523480185351,1.4903870968511728,2337.0,0.0063560988958359654,0.002997095381614745,0.537441163885323,0.16017369217506633,3.501925545571245,random_000064,0.0063560988958359654,0.0
random_000015,random,phase3a-v1,7 3 16 18 10 23 20 18 19 12,CONST_1 close DELAY5 MA5 MUL RET10 MA20 MA5 MA10 NEG,10,10,True,,0.006302467388391458,42416,0.9778454019411209,0.0451574420460282,2337.0,0.006302467388391458,0.00542288155310372,0.5468549422336328,0.15882217818746475,3.501925545571245,random_000015,0.006302467388391458,0.0
random_000273,random,phase3a-v1,5 18 5 10,amount MA5 amount MUL,4,10,True,,0.005857033887345903,43301,0.9982479194042926,1.5934896383316832e+19,2337.0,0.005857033887345903,0.001607717041800627,0.5207531022678648,0.14759725396111673,3.501925545571245,random_000273,0.005857033887345903,0.0
random_000074,random,phase3a-v1,5 3 4 1 12 22 8 10 8,amount close volume high NEG RET5 ADD MUL ADD,9,10,True,,0.005811775057178731,43290,0.997994328791756,1472024458.388667,2337.0,0.005811775057178731,0.0018908462399007953,0.5228925973470261,0.14645673144090404,3.501925545571245,random_000074,0.005811775057178731,0.0
random_000265,random,phase3a-v1,3 5 24 16 24 8,close amount DECAY DELAY5 DECAY ADD,6,10,True,,0.005808370382901434,43214,0.9962422481960486,1364308560.1519938,2337.0,0.005808370382901434,0.0021236804088209382,0.5241762943945228,0.14637093364911613,3.501925545571245,random_000265,0.005808370382901434,0.0
random_000079,random,phase3a-v1,4 0 5 20 24 22 12 9 10,volume open amount MA20 DECAY RET5 NEG SUB MUL,9,10,True,,0.005805639087040773,42883,0.9886114761279019,16552504.752972411,2337.0,0.005805639087040773,0.0018908462399007953,0.5224646983311938,0.14630210499342747,3.501925545571245,random_000079,0.005805639087040773,0.0
random_000081,random,phase3a-v1,3 14 18 13 20 0 3 17 8 11,close SIGN MA5 ABS MA20 open close DELAY10 ADD DIV,10,10,True,,0.005798021238672914,42940,0.9899255365746824,0.2681095236902733,2337.0,0.005798021238672914,0.0011723535898063853,0.519469405220368,0.14611013521455746,3.501925545571245,random_000081,0.005798021238672914,0.0
random_000025,random,phase3a-v1,5 7 6 4 8 22 8 8,amount CONST_1 CONST_0 volume ADD RET5 ADD ADD,8,10,True,,0.00579563322153125,43285,0.9978790603315121,1458099248.9433548,2337.0,0.00579563322153125,0.0018908462399007953,0.5228925973470261,0.14604995718258748,3.501925545571245,random_000025,0.00579563322153125,0.0
random_000245,random,phase3a-v1,5 1 3 8 24 9,amount high close ADD DECAY SUB,6,10,True,,0.005788368625764103,43339,0.9991239597021463,1457433095.7036502,2337.0,0.005788368625764103,0.0018908462399007953,0.5228925973470261,0.1458668893692554,3.501925545571245,random_000245,0.005788368625764103,0.0
