formula_id,source,vocab_version,token_ids,token_names,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula
sanity_mom_10,sanity,phase3a-v1,3 3 17 11 7 9,close close DELAY10 DIV CONST_1 SUB,6,10,True,,0.00561005834449809,43205,0.9960347649676096,0.08669143903143658,2337.0,0.00561005834449809,0.0031238526397171507,0.5327342747111682,0.1413734702813519,3.501925545571245,sanity_mom_10
sanity_ma_gap_5_20,sanity,phase3a-v1,3 18 3 20 11 7 9,close MA5 close MA20 DIV CONST_1 SUB,7,10,True,,0.005482205089474945,43016,0.9916776171703898,0.04497018653606399,2337.0,0.005482205089474945,0.00246757871611795,0.5241762943945228,0.13815156825476863,3.501925545571245,sanity_ma_gap_5_20
random_000000,random,phase3a-v1,0 6 7 9 8,open CONST_0 CONST_1 SUB ADD,5,10,True,,0.0012832950451540056,43377,1.0,1.4687144254851088,2337.0,0.0012832950451540056,0.002523151970789478,0.5305947796320069,0.03233903513788094,3.501925545571245,random_000000
random_000001,random,phase3a-v1,3 0 5 16 0 15 22 20 17 8 10 12 9,close open amount DELAY5 open DELAY1 RET5 MA20 DELAY10 ADD MUL NEG SUB,13,10,True,,0.0034787387218980946,42730,0.9850842612444383,5631599895.324579,2337.0,0.0034787387218980946,0.0030999230914341056,0.5353016688061617,0.08766421579183198,3.501925545571245,random_000001
random_000002,random,phase3a-v1,2 3 10 7 2 2 10 8 10,low close MUL CONST_1 low low MUL ADD MUL,9,10,True,,0.0013333889936607475,43377,1.0,576.3206643936408,2337.0,0.0013333889936607475,0.0024904803289504582,0.5293110825845101,0.03360140264025084,3.501925545571245,random_000002
random_000003,random,phase3a-v1,4 24 12 16 21 17 22 16 19 1 9,volume DECAY NEG DELAY5 STD10 DELAY10 RET5 DELAY5 MA10 high SUB,11,10,True,,0.0044322182363336895,42560,0.9811651335961454,1.8875992573296754,2337.0,0.0044322182363336895,0.001386051940472736,0.5104835258878905,0.11169189955560899,3.501925545571245,random_000003
random_000004,random,phase3a-v1,7 22 22 12 14 21 3 10,CONST_1 RET5 RET5 NEG SIGN STD10 close MUL,8,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,
random_000005,random,phase3a-v1,5 19 18 1 24 24 9,amount MA10 MA5 high DECAY DECAY SUB,7,10,True,,0.005571340898013304,43130,0.994305738063951,1298704518.598342,2337.0,0.005571340898013304,0.0019344601340750556,0.5241762943945228,0.14039779062993524,3.501925545571245,random_000005
random_000006,random,phase3a-v1,3 6 9 18 5 10,close CONST_0 SUB MA5 amount MUL,6,10,True,,0.0037443109146230763,43301,0.9982479194042926,5590120467.628053,2337.0,0.0037443109146230763,0.0029720130457796534,0.5344458707744972,0.09435663504850153,3.501925545571245,random_000006
random_000007,random,phase3a-v1,1 0 19 10,high open MA10 MUL,4,10,True,,0.0014600085593724865,43206,0.9960578186596584,10.570367741864118,2337.0,0.0014600085593724865,0.002516991290059889,0.5305947796320069,0.03679221569618666,3.501925545571245,random_000007
