formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula,step,sample_idx,reloaded_reward,reward_abs_diff
train_000001_021,phase3b_train,phase3a-v1,2 13 24 19 18 23 23 13 7 15 14 22 17 8 15 19,low ABS DECAY MA10 MA5 RET10 RET10 ABS CONST_1 DELAY1 SIGN RET5 DELAY10 ADD DELAY1 MA10,MA10(DELAY1((ABS(RET10(RET10(MA5(MA10(DECAY(ABS(low))))))) ADD DELAY10(RET5(SIGN(DELAY1(CONST_1))))))),16,10,True,,0.006878246107346835,42502,0.9798280194573161,289633124637.70966,2337.0,0.006878246107346835,0.005485615065883631,0.558408215661104,0.17333180190514025,3.501925545571245,train_000001_021,1,21,0.006878246107346835,0.0
train_000020_026,phase3b_train,phase3a-v1,0 7 4 20 24 4 2 8 24 20 3 16 10 9 10 8,open CONST_1 volume MA20 DECAY volume low ADD DECAY MA20 close DELAY5 MUL SUB MUL ADD,(open ADD (CONST_1 MUL (DECAY(MA20(volume)) SUB (MA20(DECAY((volume ADD low))) MUL DELAY5(close))))),16,10,True,,0.006808062978261216,42978,0.9908015768725361,8225798.1759687,2337.0,0.006808062978261216,0.0026881720430107503,0.5263157894736842,0.17156318705218265,3.501925545571245,train_000020_026,20,26,0.006808062978261216,0.0
train_000069_031,phase3b_train,phase3a-v1,5 0 0 8 3 13 0 4 14 9 13 11 17 13 11 11,amount open open ADD close ABS open volume SIGN SUB ABS DIV DELAY10 ABS DIV DIV,(amount DIV ((open ADD open) DIV ABS(DELAY10((ABS(close) DIV ABS((open SUB SIGN(volume)))))))),16,10,True,,0.0067163286269467755,42784,0.9863291606150725,7971332832.562929,2337.0,0.0067163286269467755,0.002257595600688417,0.5241762943945228,0.16925148139905874,3.501925545571245,train_000069_031,69,31,0.0067163286269467755,0.0
train_000062_033,phase3b_train,phase3a-v1,3 5 1 18 1 5 9 0 20 16 5 8 11 8 10 9,close amount high MA5 high amount SUB open MA20 DELAY5 amount ADD DIV ADD MUL SUB,(close SUB (amount MUL (MA5(high) ADD ((high SUB amount) DIV (DELAY5(MA20(open)) ADD amount))))),16,10,True,,0.00668232382769512,42921,0.9894875164257556,4502303345.055892,2337.0,0.00668232382769512,0.0026403848164802124,0.5258878904578519,0.16839456045791704,3.501925545571245,train_000062_033,62,33,0.00668232382769512,0.0
train_000070_043,phase3b_train,phase3a-v1,5 3 20 20 5 0 5 20 19 11 13 2 9 10 9 9,amount close MA20 MA20 amount open amount MA20 MA10 DIV ABS low SUB MUL SUB SUB,(amount SUB (MA20(MA20(close)) SUB (amount MUL (ABS((open DIV MA10(MA20(amount)))) SUB low)))),16,10,True,,0.006557872202092198,42655,0.9833552343407796,4392261263.441639,2337.0,0.006557872202092198,0.002342850677397451,0.5224646983311938,0.1652583794927234,3.501925545571245,train_000070_043,70,43,0.006557872202092198,0.0
train_000089_012,phase3b_train,phase3a-v1,6 5 9 15 1 0 5 10 19 0 5 19 8 9 10 10,CONST_0 amount SUB DELAY1 high open amount MUL MA10 open amount MA10 ADD SUB MUL MUL,(DELAY1((CONST_0 SUB amount)) MUL (high MUL (MA10((open MUL amount)) SUB (open ADD MA10(amount))))),16,10,True,,0.006556467594071629,43206,0.9960578186596584,2.5645134663229306e+20,2337.0,0.006556467594071629,0.0026103733968902234,0.5263157894736842,0.16522298337060506,3.501925545571245,train_000089_012,89,12,0.006556467594071629,0.0
train_000069_048,phase3b_train,phase3a-v1,2 5 8 1 3 24 19 3 24 5 2 8 8 8 10 9,low amount ADD high close DECAY MA10 close DECAY amount low ADD ADD ADD MUL SUB,((low ADD amount) SUB (high MUL (MA10(DECAY(close)) ADD (DECAY(close) ADD (amount ADD low))))),16,10,True,,0.0065412872930337975,43168,0.9951817783618047,4534916864.691029,2337.0,0.0065412872930337975,0.0028189681804139666,0.5258878904578519,0.1648404397844517,3.501925545571245,train_000069_048,69,48,0.0065412872930337975,0.0
train_000013_016,phase3b_train,phase3a-v1,4 21 0 23 0 9 4 14 8 19 20 10 7 17 13 8,volume STD10 open RET10 open SUB volume SIGN ADD MA10 MA20 MUL CONST_1 DELAY10 ABS ADD,((STD10(volume) MUL MA20(MA10(((RET10(open) SUB open) ADD SIGN(volume))))) ADD ABS(DELAY10(CONST_1))),16,10,True,,0.006531033912105695,42655,0.9833552343407796,3594085.332726666,2337.0,0.006531033912105695,0.0029411764705882804,0.5263157894736842,0.16458205458506353,3.501925545571245,train_000013_016,13,16,0.006531033912105695,0.0
train_000107_038,phase3b_train,phase3a-v1,4 24 13 4 5 7 5 13 3 13 17 11 9 8 8 9,volume DECAY ABS volume amount CONST_1 amount ABS close ABS DELAY10 DIV SUB ADD ADD SUB,(ABS(DECAY(volume)) SUB (volume ADD (amount ADD (CONST_1 SUB (ABS(amount) DIV DELAY10(ABS(close))))))),16,10,True,,0.006528198802243777,43201,0.9959425501994145,976606442.5064378,2337.0,0.006528198802243777,0.0030487804878048808,0.5267436884895165,0.1645106098165432,3.501925545571245,train_000107_038,107,38,0.006528198802243777,0.0
train_000040_023,phase3b_train,phase3a-v1,5 1 13 5 0 3 24 18 5 15 19 8 11 8 10 9,amount high ABS amount open close DECAY MA5 amount DELAY1 MA10 ADD DIV ADD MUL SUB,(amount SUB (ABS(high) MUL (amount ADD (open DIV (MA5(DECAY(close)) ADD MA10(DELAY1(amount))))))),16,10,True,,0.006518270253576313,43187,0.9956197985107315,4533998624.895991,2337.0,0.006518270253576313,0.0028189681804139666,0.5250320924261874,0.1642604103901231,3.501925545571245,train_000040_023,40,23,0.006518270253576313,0.0
train_000075_054,phase3b_train,phase3a-v1,3 4 8 0 0 13 5 8 4 5 3 10 9 8 8 8,close volume ADD open open ABS amount ADD volume amount close MUL SUB ADD ADD ADD,((close ADD volume) ADD (open ADD ((ABS(open) ADD amount) ADD (volume SUB (amount MUL close))))),16,10,True,,0.006463865787041143,43377,1.0,4445562726.052843,2337.0,0.006463865787041143,0.0026154401154400895,0.5271715875053488,0.1628894178334368,3.501925545571245,train_000075_054,75,54,0.006463865787041143,0.0
train_000076_001,phase3b_train,phase3a-v1,0 0 0 0 16 5 1 0 10 5 10 9 8 8 8 8,open open open open DELAY5 amount high open MUL amount MUL SUB ADD ADD ADD ADD,(open ADD (open ADD (open ADD (DELAY5(open) ADD (amount SUB ((high MUL open) MUL amount)))))),16,10,True,,0.006441008820289285,43290,0.997994328791756,32546944580.440464,2337.0,0.006441008820289285,0.0022120240870240615,0.5228925973470261,0.16231342227128998,3.501925545571245,train_000076_001,76,1,0.006441008820289285,0.0
train_000067_058,phase3b_train,phase3a-v1,5 24 18 0 0 5 10 9 8 4 4 10 13 22 9 20,amount DECAY MA5 open open amount MUL SUB ADD volume volume MUL ABS RET5 SUB MA20,MA20(((MA5(DECAY(amount)) ADD (open SUB (open MUL amount))) SUB RET5(ABS((volume MUL volume))))),16,10,True,,0.0064397296358421055,42822,0.9872052009129262,3846750978.38185,2337.0,0.0064397296358421055,0.002373740449188033,0.5271715875053488,0.16228118682322107,3.501925545571245,train_000067_058,67,58,0.0064397296358421055,0.0
train_000008_045,phase3b_train,phase3a-v1,7 2 20 9 19 1 1 16 5 7 15 24 11 10 8 10,CONST_1 low MA20 SUB MA10 high high DELAY5 amount CONST_1 DELAY1 DECAY DIV MUL ADD MUL,(MA10((CONST_1 SUB MA20(low))) MUL (high ADD (DELAY5(high) MUL (amount DIV DECAY(DELAY1(CONST_1)))))),16,10,True,,0.006438440821458741,42845,0.9877354358300482,26488291286.11228,2337.0,0.006438440821458741,0.002342850677397451,0.5224646983311938,0.16224870870076027,3.501925545571245,train_000008_045,8,45,0.006438440821458741,0.0
train_000035_008,phase3b_train,phase3a-v1,1 1 4 8 23 16 13 13 19 2 3 13 18 10 8 11,high high volume ADD RET10 DELAY5 ABS ABS MA10 low close ABS MA5 MUL ADD DIV,(high DIV (MA10(ABS(ABS(DELAY5(RET10((high ADD volume)))))) ADD (low MUL MA5(ABS(close))))),16,10,True,,0.006428681102856145,42921,0.9894875164257556,0.2143194059145054,2337.0,0.006428681102856145,0.00306603773584907,0.5365853658536586,0.16200276379197484,3.501925545571245,train_000035_008,35,8,0.006428681102856145,0.0
train_000098_020,phase3b_train,phase3a-v1,3 5 7 21 0 2 5 2 24 22 8 10 8 9 8 8,close amount CONST_1 STD10 open low amount low DECAY RET5 ADD MUL ADD SUB ADD ADD,(close ADD (amount ADD (STD10(CONST_1) SUB (open ADD (low MUL (amount ADD RET5(DECAY(low)))))))),16,10,True,,0.00641577133872275,43244,0.9969338589575121,4367715732.094424,2337.0,0.00641577133872275,0.0022022883950482963,0.521181001283697,0.1616774377358133,3.501925545571245,train_000098_020,98,20,0.00641577133872275,0.0
train_000076_044,phase3b_train,phase3a-v1,5 22 23 20 5 10,amount RET5 RET10 MA20 amount MUL,(MA20(RET10(RET5(amount))) MUL amount),6,10,True,,0.006383401210772838,42611,0.9823408718906332,100671066137.03168,2337.0,0.006383401210772838,0.0034551584605886088,0.5361574668378263,0.16086171051147552,3.501925545571245,train_000076_044,76,44,0.006383401210772838,0.0
train_000052_019,phase3b_train,phase3a-v1,5 20 13 2 3 3 1 24 18 5 16 11 8 10 9 10,amount MA20 ABS low close close high DECAY MA5 amount DELAY5 DIV ADD MUL SUB MUL,(ABS(MA20(amount)) MUL (low SUB (close MUL (close ADD (MA5(DECAY(high)) DIV DELAY5(amount)))))),16,10,True,,0.006363794118604232,43012,0.9915854024021947,24354157083.002354,2337.0,0.006363794118604232,0.002342850677397451,0.5263157894736842,0.16036761178882666,3.501925545571245,train_000052_019,52,19,0.006363794118604232,0.0
train_000147_033,phase3b_train,phase3a-v1,5 5 8 5 22 11 19 5 5 2 4 15 10 8 8 8,amount amount ADD amount RET5 DIV MA10 amount amount low volume DELAY1 MUL ADD ADD ADD,(MA10(((amount ADD amount) DIV RET5(amount))) ADD (amount ADD (amount ADD (low MUL DELAY1(volume))))),16,10,True,,0.006356595251542395,43071,0.9929455702330728,452566700793.5519,2337.0,0.006356595251542395,0.0031062047874513554,0.535729567821994,0.16018620033886835,3.501925545571245,train_000147_033,147,33,0.006356595251542395,0.0
train_000051_037,phase3b_train,phase3a-v1,7 0 4 8 5 8 4 3 12 5 3 10 10 9 9 8,CONST_1 open volume ADD amount ADD volume close NEG amount close MUL MUL SUB SUB ADD,(CONST_1 ADD (((open ADD volume) ADD amount) SUB (volume SUB (NEG(close) MUL (amount MUL close))))),16,10,True,,0.006327616683233581,43377,1.0,32075835306.958862,2337.0,0.006327616683233581,0.002373740449188033,0.5241762943945228,0.15945594041748626,3.501925545571245,train_000051_037,51,37,0.006327616683233581,0.0
