formula,horizon,validator_variant,max_holding_days,transaction_cost_bps,validator_days,validator_total_return,validator_ann_return,validator_sharpe,validator_max_drawdown,validator_trade_count,validator_sell_count,validator_avg_cash_weight,benchmark_total_return,benchmark_ann_return
train_000001_021,10,no_max_holding,,5.0,2348,1.4057916619173976,0.09880003007707017,0.5265731928479951,-0.5886378348841215,1695,846,0.01380175342455789,0.874150570584729,0.06974150244931265
train_000001_021,10,rank_only_no_max_holding,,5.0,2348,1.4057916619173976,0.09880003007707017,0.5265731928479951,-0.5886378348841215,1695,846,0.01380175342455789,0.874150570584729,0.06974150244931265
train_000001_021,10,max_holding_10,10.0,5.0,2348,1.494130672532524,0.10306093843354014,0.5469741047974417,-0.6130831603020885,1995,996,0.029415289923553977,0.874150570584729,0.06974150244931265
train_000001_021,10,rank_only_max_holding_10,10.0,5.0,2348,1.494130672532524,0.10306093843354014,0.5469741047974417,-0.6130831603020885,1995,996,0.029415289923553977,0.874150570584729,0.06974150244931265
train_000020_026,10,no_max_holding,,5.0,2348,1.1527335091517936,0.08577117657946132,0.4007583342104156,-0.3731024293823032,289,143,0.1494715499891137,0.874150570584729,0.06974150244931265
train_000020_026,10,rank_only_no_max_holding,,5.0,2348,3.6028825733970535,0.17803973047335608,0.6196390416071712,-0.3082967317491958,199,98,0.030437637283223292,0.874150570584729,0.06974150244931265
train_000020_026,10,max_holding_10,10.0,5.0,2348,1.2972097549016284,0.09336709195869886,0.4274861037112039,-0.3245105939365155,1325,661,0.1977985814221085,0.874150570584729,0.06974150244931265
train_000020_026,10,rank_only_max_holding_10,10.0,5.0,2348,0.5192441367970835,0.04590743065696912,0.30994818238109256,-0.33110855613451196,1425,711,0.08776669898036236,0.874150570584729,0.06974150244931265
train_000069_031,10,no_max_holding,,5.0,2348,1.9809306381017935,0.12437193378527622,0.5024628772990218,-0.3794892674460464,817,407,0.017830423366362213,0.874150570584729,0.06974150244931265
train_000069_031,10,rank_only_no_max_holding,,5.0,2348,1.9809306381017935,0.12437193378527622,0.5024628772990218,-0.3794892674460464,817,407,0.017830423366362213,0.874150570584729,0.06974150244931265
train_000069_031,10,max_holding_10,10.0,5.0,2348,1.4746650543014495,0.102133748643497,0.4428816544387757,-0.3659860438373046,1887,942,0.048573525074371064,0.874150570584729,0.06974150244931265
train_000069_031,10,rank_only_max_holding_10,10.0,5.0,2348,1.4746650543014495,0.102133748643497,0.4428816544387757,-0.3659860438373046,1887,942,0.048573525074371064,0.874150570584729,0.06974150244931265
train_000062_033,10,no_max_holding,,5.0,2348,1.4700688036705865,0.10191386935343272,0.4273361242951594,-0.3618434539868406,229,113,0.16274125335316392,0.874150570584729,0.06974150244931265
train_000062_033,10,rank_only_no_max_holding,,5.0,2348,3.1634324256601394,0.16542108686418877,0.5889734192309011,-0.32399689200216875,249,123,0.03218099312682138,0.874150570584729,0.06974150244931265
train_000062_033,10,max_holding_10,10.0,5.0,2348,-0.02601377195646426,-0.0028248972458320143,0.09489820690440183,-0.3822462761727319,1271,634,0.2078236693855018,0.874150570584729,0.06974150244931265
train_000062_033,10,rank_only_max_holding_10,10.0,5.0,2348,0.07428966702980233,0.007720552316853091,0.14660626495614662,-0.4457176022905466,1457,727,0.08173236681125189,0.874150570584729,0.06974150244931265
train_000070_043,10,no_max_holding,,5.0,2348,1.7984215535808987,0.11677356106706682,0.4822914932483972,-0.35394161343020725,339,168,0.15955733315456727,0.874150570584729,0.06974150244931265
train_000070_043,10,rank_only_no_max_holding,,5.0,2348,2.512070363102165,0.14433394394419552,0.5515090652402026,-0.33887833409838153,245,121,0.043961333423385575,0.874150570584729,0.06974150244931265
train_000070_043,10,max_holding_10,10.0,5.0,2348,1.792407746018906,0.11651573852079333,0.49934661800826863,-0.3293653100513254,1363,680,0.18755628810480734,0.874150570584729,0.06974150244931265
train_000070_043,10,rank_only_max_holding_10,10.0,5.0,2348,1.1868055331641494,0.0876026475324454,0.40650131051064875,-0.36581722029250807,1465,731,0.07864300415717392,0.874150570584729,0.06974150244931265
train_000089_012,10,no_max_holding,,5.0,2348,1.9147634733390335,0.12166644816833827,0.4820850192613978,-0.3474173650028066,207,102,0.161713760300163,0.874150570584729,0.06974150244931265
train_000089_012,10,rank_only_no_max_holding,,5.0,2348,4.276169756566818,0.19542721247043815,0.6655494882575913,-0.3415071603252251,209,103,0.042041196025216165,0.874150570584729,0.06974150244931265
train_000089_012,10,max_holding_10,10.0,5.0,2348,0.4435978972998018,0.04018989125668293,0.2903875539534413,-0.31340398588677854,1261,629,0.20271866912189807,0.874150570584729,0.06974150244931265
train_000089_012,10,rank_only_max_holding_10,10.0,5.0,2348,0.3616602333362773,0.03368682379601906,0.2587711442199243,-0.3482825995651818,1437,717,0.08584094633899465,0.874150570584729,0.06974150244931265
train_000069_048,10,no_max_holding,,5.0,2348,1.6006174986060833,0.10802163996023628,0.4654732569798696,-0.38887527440219805,291,144,0.1694035618090789,0.874150570584729,0.06974150244931265
