step,avg_reward,std_reward,best_reward,valid_rate,invalid_rate,invalid_vm_rate,non_finite_rate,constant_rate,low_coverage_rate,avg_formula_len,entropy,loss,elapsed_seconds,avg_allowed_actions
1,-1.1688690185546875,2.006086826324463,0.006878246107346835,0.71875,0.28125,0.0,0.203125,0.078125,0.0,15.1875,41.642486572265625,-1.1275049448013306,11.107125516980886,17.956801470588236
2,-1.2319711446762085,1.9994704723358154,0.006878246107346835,0.6875,0.3125,0.0,0.203125,0.109375,0.0,15.375,41.18479919433594,-0.04667556285858154,22.09514637599932,17.566176470588236
3,-1.2628206014633179,1.9958511590957642,0.006878246107346835,0.671875,0.328125,0.0,0.203125,0.125,0.0,15.46875,41.17107009887695,0.1372755765914917,32.53459878999274,17.530330882352942
4,-0.8250743746757507,1.7563858032226562,0.006878246107346835,0.796875,0.203125,0.0,0.140625,0.046875,0.015625,14.90625,39.889034271240234,-0.2128763198852539,45.1956239399733,16.985294117647058
5,-1.0437333583831787,1.8927521705627441,0.006878246107346835,0.734375,0.265625,0.0,0.171875,0.09375,0.0,14.671875,39.636898040771484,-1.4405863285064697,56.55497223098064,16.939338235294116
6,-1.0440253019332886,1.8925905227661133,0.006878246107346835,0.734375,0.265625,0.0,0.171875,0.09375,0.0,15.234375,41.072998046875,-0.8913933634757996,66.96658172999742,17.608455882352942
7,-0.8405135869979858,1.8234037160873413,0.006878246107346835,0.8125,0.1875,0.0,0.15625,0.015625,0.015625,15.046875,40.67643356323242,-0.012201189994812012,78.54159109300235,17.417279411764707
8,-0.7315006852149963,1.6044607162475586,0.006878246107346835,0.796875,0.203125,0.0,0.109375,0.09375,0.0,15.359375,41.1094856262207,1.0658297538757324,91.06555786397075,17.54136029411765
9,-0.9032701253890991,1.8276668787002563,0.006878246107346835,0.78125,0.21875,0.0,0.15625,0.0625,0.0,15.40625,41.30674362182617,-1.0249605178833008,103.56952862697653,17.715073529411764
10,-0.5907717943191528,1.4982495307922363,0.006878246107346835,0.84375,0.15625,0.0,0.09375,0.046875,0.015625,14.59375,39.408042907714844,-0.8364154100418091,116.91967461700551,16.990808823529413
11,-0.5438961982727051,1.4035009145736694,0.006878246107346835,0.84375,0.15625,0.0,0.078125,0.0625,0.015625,14.65625,39.50977325439453,-1.333727478981018,130.01871094701346,16.987132352941178
12,-0.5590233206748962,1.4895498752593994,0.006878246107346835,0.859375,0.140625,0.0,0.09375,0.046875,0.0,15.34375,41.29240798950195,0.049201130867004395,143.7054465059773,17.787683823529413
13,-0.4030609428882599,1.2599824666976929,0.006878246107346835,0.890625,0.109375,0.0,0.0625,0.046875,0.0,15.265625,40.89072799682617,-0.32677745819091797,157.55243698199047,17.606617647058822
14,-0.6687938570976257,1.592828631401062,0.006878246107346835,0.828125,0.171875,0.0,0.109375,0.0625,0.0,15.4375,40.914913177490234,0.8101015090942383,170.77309881796828,17.557904411764707
15,-0.30936917662620544,0.9990266561508179,0.006878246107346835,0.890625,0.109375,0.0,0.03125,0.078125,0.0,15.0,39.87934875488281,0.8780462741851807,184.91980316198897,17.123161764705884
16,-0.34004706144332886,1.2285704612731934,0.006878246107346835,0.921875,0.078125,0.0,0.0625,0.015625,0.0,15.046875,40.03234100341797,-0.8175517320632935,199.21706194098806,17.229779411764707
17,-0.5591460466384888,1.4895035028457642,0.006878246107346835,0.859375,0.140625,0.0,0.09375,0.03125,0.015625,14.828125,39.24357986450195,-1.5731309652328491,212.79068775399355,16.886029411764707
18,-0.2775478959083557,0.9768491387367249,0.006878246107346835,0.90625,0.09375,0.0,0.03125,0.046875,0.015625,14.6875,39.1196174621582,0.23785138130187988,226.12722811399726,16.91452205882353
19,-0.57457435131073,1.5705907344818115,0.006878246107346835,0.875,0.125,0.0,0.109375,0.015625,0.0,15.640625,40.73866271972656,-0.9013363122940063,238.49493202602025,17.465992647058822
20,-0.4339917302131653,1.274428367614746,0.006878246107346835,0.875,0.125,0.0,0.0625,0.0625,0.0,15.09375,40.215694427490234,-1.8072724342346191,250.9221152329701,17.422794117647058
21,-0.24676285684108734,0.9528229236602783,0.006878246107346835,0.921875,0.078125,0.0,0.03125,0.03125,0.015625,14.9375,39.56780242919922,-0.03077077865600586,264.05006681301165,17.081801470588236
22,-0.2308877408504486,1.0576298236846924,0.006878246107346835,0.953125,0.046875,0.0,0.046875,0.0,0.0,15.140625,39.9046516418457,-0.7229803800582886,277.6176642039791,17.223345588235293
23,-0.8094655871391296,1.820310115814209,0.006878246107346835,0.828125,0.171875,0.0,0.15625,0.015625,0.0,14.875,39.496368408203125,-1.1509594917297363,290.76927853398956,17.196691176470587
24,-0.340313583612442,1.2284958362579346,0.006878246107346835,0.921875,0.078125,0.0,0.0625,0.015625,0.0,15.046875,39.62114715576172,-0.7314391136169434,305.57368000998395,17.18198529411765
25,-0.40286964178085327,1.2600438594818115,0.006878246107346835,0.890625,0.109375,0.0,0.0625,0.046875,0.0,15.28125,40.120059967041016,0.21905577182769775,319.84113025298575,17.434742647058822
26,-0.2464713454246521,0.952899694442749,0.006878246107346835,0.921875,0.078125,0.0,0.03125,0.046875,0.0,15.4375,40.40359878540039,-0.9792008399963379,334.24764353898354,17.516544117647058
27,-0.26213836669921875,1.0796639919281006,0.006878246107346835,0.9375,0.0625,0.0,0.046875,0.015625,0.0,15.28125,40.01325607299805,-0.3383573293685913,348.27541501499945,17.3125
28,-0.2307351976633072,1.0576636791229248,0.006878246107346835,0.953125,0.046875,0.0,0.046875,0.0,0.0,15.015625,39.232486724853516,-1.3538060188293457,363.4406751130009,17.053308823529413
29,-0.4027126431465149,1.2600947618484497,0.006878246107346835,0.890625,0.109375,0.0,0.0625,0.046875,0.0,15.109375,39.94309997558594,-0.19160616397857666,377.37933879799675,17.46323529411765
30,-0.3872433602809906,1.1551765203475952,0.006878246107346835,0.875,0.125,0.0,0.046875,0.078125,0.0,15.3125,39.67050552368164,-1.860099196434021,390.68284694099566,17.205882352941178
31,-0.26230427622795105,1.0796231031417847,0.006878246107346835,0.9375,0.0625,0.0,0.046875,0.015625,0.0,15.390625,39.97612762451172,-0.7552697658538818,404.0600125460187,17.350183823529413
32,-0.26184892654418945,1.0797351598739624,0.006878246107346835,0.9375,0.0625,0.0,0.046875,0.015625,0.0,15.28125,39.36145782470703,-0.49329590797424316,417.45575142797315,17.051470588235293
33,-0.23057326674461365,1.0576995611190796,0.006878246107346835,0.953125,0.046875,0.0,0.046875,0.0,0.0,15.59375,40.47129821777344,-0.7795263528823853,431.1188108829665,17.63511029411765
34,-0.3086490035057068,1.211302638053894,0.006878246107346835,0.9375,0.0625,0.0,0.0625,0.0,0.0,15.421875,40.18309783935547,-1.9091405868530273,444.57871462596813,17.540441176470587
35,-0.24600787460803986,0.9530210494995117,0.006878246107346835,0.921875,0.078125,0.0,0.03125,0.046875,0.0,15.234375,39.10320281982422,-0.2270420789718628,459.0701536000124,17.011948529411764
36,-0.30917349457740784,0.9990878105163574,0.006878246107346835,0.890625,0.109375,0.0,0.03125,0.078125,0.0,14.984375,38.68592834472656,0.6640744209289551,471.80436697998084,16.912683823529413
37,-0.18371228873729706,0.9000095725059509,0.006878246107346835,0.953125,0.046875,0.0,0.03125,0.015625,0.0,15.21875,39.31122589111328,-1.2257976531982422,485.3988382280222,17.217830882352942
38,-0.08987781405448914,0.4236038625240326,0.006878246107346835,0.953125,0.046875,0.0,0.0,0.046875,0.0,15.5,39.72761535644531,2.1650919914245605,499.9201984049869,17.345588235294116
39,-0.18401069939136505,0.8999477028846741,0.006878246107346835,0.953125,0.046875,0.0,0.03125,0.015625,0.0,15.140625,38.99244689941406,-1.309851884841919,514.6614818060189,17.10202205882353
40,-0.1368752121925354,0.7049167156219482,0.006878246107346835,0.953125,0.046875,0.0,0.015625,0.03125,0.0,15.09375,38.34567642211914,-0.8726445436477661,529.4671400790103,16.77389705882353
41,-0.30903491377830505,1.2112032175064087,0.006878246107346835,0.9375,0.0625,0.0,0.0625,0.0,0.0,15.453125,40.13508605957031,-1.2536532878875732,544.4420372839668,17.751838235294116
42,-0.1527034491300583,0.8706017732620239,0.006878246107346835,0.96875,0.03125,0.0,0.03125,0.0,0.0,15.84375,40.30744934082031,-0.6815189719200134,559.8189883590094,17.698529411764707
43,-0.1522510051727295,0.8706827759742737,0.006878246107346835,0.96875,0.03125,0.0,0.03125,0.0,0.0,15.6875,39.960357666015625,-0.7514394521713257,575.1822620760067,17.564338235294116
44,-0.027417728677392006,0.24852748215198517,0.006878246107346835,0.984375,0.015625,0.0,0.0,0.015625,0.0,14.953125,37.63005065917969,1.548170804977417,590.477558234008,16.423713235294116
45,-0.0740199089050293,0.6206169724464417,0.006878246107346835,0.984375,0.015625,0.0,0.015625,0.0,0.0,15.453125,39.992591857910156,-1.098418116569519,606.2244030300062,17.74448529411765
46,-0.1053280308842659,0.6648684740066528,0.006878246107346835,0.96875,0.03125,0.0,0.015625,0.015625,0.0,15.515625,39.880210876464844,-0.034438133239746094,621.5758891599835,17.657169117647058
47,0.003973602782934904,0.0016749243950471282,0.006878246107346835,1.0,0.0,0.0,0.0,0.0,0.0,15.484375,38.761962890625,-0.613970160484314,637.4167517719907,17.067095588235293
48,-0.15227589011192322,0.8706784248352051,0.006878246107346835,0.96875,0.03125,0.0,0.03125,0.0,0.0,15.65625,39.968841552734375,-1.1273696422576904,652.5030951059889,17.749080882352942
49,-0.07416750490665436,0.6205984354019165,0.006878246107346835,0.984375,0.015625,0.0,0.015625,0.0,0.0,15.53125,39.5264778137207,-1.306316614151001,668.1025365170208,17.532169117647058
