formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula,gpu_reward,gpu_rank,step,sample_idx,reloaded_reward,reward_abs_diff
phase3c_gpu_000013_0464,phase3c_cpu_audit,phase3a-v1,1 5 13 11 4 17 23 14 0 0 21 19 8 8 11 21,high amount ABS DIV volume DELAY10 RET10 SIGN open open STD10 MA10 ADD ADD DIV STD10,STD10(((high DIV ABS(amount)) DIV (SIGN(RET10(DELAY10(volume))) ADD (open ADD MA10(STD10(open)))))),16,10,True,,0.007768308403546461,42745,0.9854300666251701,3.481091714730327e-05,2337.0,0.007768308403546461,0.005555555555555536,0.5626872058194267,0.1957613717693708,3.501925545571245,phase3c_gpu_000013_0464,0.007966509088873863,2,13,464,0.007768308403546461,0.0
phase3c_gpu_000021_0348,phase3c_cpu_audit,phase3a-v1,3 4 1 0 22 24 20 0 7 5 10 9 8 8 11 10,close volume high open RET5 DECAY MA20 open CONST_1 amount MUL SUB ADD ADD DIV MUL,(close MUL (volume DIV (high ADD (MA20(DECAY(RET5(open))) ADD (open SUB (CONST_1 MUL amount)))))),16,10,True,,0.007490397968097522,42883,0.9886114761279019,0.005045680683910111,2337.0,0.007490397968097522,0.005138985709306376,0.5592640136927685,0.18875802879605755,3.501925545571245,phase3c_gpu_000021_0348,0.007490403018891811,3,21,348,0.007490397968097522,0.0
phase3c_gpu_000026_0770,phase3c_cpu_audit,phase3a-v1,3 13 5 2 13 16 0 7 4 1 9 9 8 8 11 11,close ABS amount low ABS DELAY5 open CONST_1 volume high SUB SUB ADD ADD DIV DIV,(ABS(close) DIV (amount DIV (DELAY5(ABS(low)) ADD (open ADD (CONST_1 SUB (volume SUB high)))))),16,10,True,,0.007434360485672229,43285,0.9978790603315121,0.0049993102077727615,2337.0,0.007434360485672229,0.005035716619117087,0.558408215661104,0.18734588423894016,3.501925545571245,phase3c_gpu_000026_0770,0.007434364408254623,4,26,770,0.007434360485672229,0.0
phase3c_gpu_000045_0409,phase3c_cpu_audit,phase3a-v1,3 15 4 2 9 9 3 0 0 5 3 11 8 8 8 11,close DELAY1 volume low SUB SUB close open open amount close DIV ADD ADD ADD DIV,((DELAY1(close) SUB (volume SUB low)) DIV (close ADD (open ADD (open ADD (amount DIV close))))),16,10,True,,0.007430098829983359,43358,0.9995619798510732,0.00880908364732746,2337.0,0.007430098829983359,0.005035716619117087,0.5588361146769363,0.18723849051558067,3.501925545571245,phase3c_gpu_000045_0409,0.007430102210491896,5,45,409,0.007430098829983359,0.0
phase3c_gpu_000045_0848,phase3c_cpu_audit,phase3a-v1,3 2 1 0 19 8 10 4 9 19 14 8 1 16 10 23,close low high open MA10 ADD MUL volume SUB MA10 SIGN ADD high DELAY5 MUL RET10,RET10(((close ADD SIGN(MA10(((low MUL (high ADD MA10(open))) SUB volume)))) MUL DELAY5(high))),16,10,True,,0.0072984091139069495,42485,0.9794361066924868,1.647216581469277,2337.0,0.0072984091139069495,0.003975610865427692,0.5310226786478391,0.18391990967045513,3.501925545571245,phase3c_gpu_000045_0848,0.0072993324138224125,6,45,848,0.0072984091139069495,0.0
phase3c_gpu_000009_0546,phase3c_cpu_audit,phase3a-v1,0 5 19 0 7 15 9 24 20 13 2 0 8 10 10 9,open amount MA10 open CONST_1 DELAY1 SUB DECAY MA20 ABS low open ADD MUL MUL SUB,(open SUB (MA10(amount) MUL (ABS(MA20(DECAY((open SUB DELAY1(CONST_1))))) MUL (low ADD open)))),16,10,True,,0.007252999335923663,42976,0.9907554694884386,49139899508.65395,2337.0,0.007252999335923663,0.004683544303797471,0.5459991442019684,0.1827755832652763,3.501925545571245,phase3c_gpu_000009_0546,0.00725300470367074,8,9,546,0.007252999335923663,0.0
phase3c_gpu_000025_0586,phase3c_cpu_audit,phase3a-v1,1 3 8 1 14 5 17 17 20 19 3 10 20 15 9 8,high close ADD high SIGN amount DELAY10 DELAY10 MA20 MA10 close MUL MA20 DELAY1 SUB ADD,((high ADD close) ADD (SIGN(high) SUB DELAY1(MA20((MA10(MA20(DELAY10(DELAY10(amount)))) MUL close))))),16,10,True,,0.007178260913738356,42085,0.9702146298729741,4487517255.876826,2337.0,0.007178260913738356,0.0043161857406464055,0.5447154471544715,0.18089217502620658,3.501925545571245,phase3c_gpu_000025_0586,0.007178265135735273,10,25,586,0.007178260913738356,0.0
phase3c_gpu_000014_0636,phase3c_cpu_audit,phase3a-v1,5 5 2 15 16 24 15 11 15 9 20 20 24 12 15 24,amount amount low DELAY1 DELAY5 DECAY DELAY1 DIV DELAY1 SUB MA20 MA20 DECAY NEG DELAY1 DECAY,DECAY(DELAY1(NEG(DECAY(MA20(MA20((amount SUB DELAY1((amount DIV DELAY1(DECAY(DELAY5(DELAY1(low))))))))))))),16,10,True,,0.007177656075216977,42370,0.9767849321068769,824848476.9263062,2337.0,0.007177656075216977,0.002373740449188033,0.5246041934103551,0.18087693309546782,3.501925545571245,phase3c_gpu_000014_0636,0.007177659776061773,11,14,636,0.007177656075216977,0.0
phase3c_gpu_000040_0942,phase3c_cpu_audit,phase3a-v1,7 12 17 19 0 2 14 9 13 5 3 11 20 15 11 10,CONST_1 NEG DELAY10 MA10 open low SIGN SUB ABS amount close DIV MA20 DELAY1 DIV MUL,(MA10(DELAY10(NEG(CONST_1))) MUL (ABS((open SUB SIGN(low))) DIV DELAY1(MA20((amount DIV close))))),16,10,True,,0.007171404925440699,42997,0.991239597021463,6.510780587230838e-07,2337.0,0.007171404925440699,0.003171031096563026,0.5361574668378263,0.1807194041211056,3.501925545571245,phase3c_gpu_000040_0942,0.007171408738940954,12,40,942,0.007171404925440699,0.0
phase3c_gpu_000017_0063,phase3c_cpu_audit,phase3a-v1,3 2 0 8 4 5 22 22 24 11 0 12 11 20 10 10,close low open ADD volume amount RET5 RET5 DECAY DIV open NEG DIV MA20 MUL MUL,(close MUL ((low ADD open) MUL MA20(((volume DIV DECAY(RET5(RET5(amount)))) DIV NEG(open))))),16,10,True,,0.007159824570241977,42680,0.9839315766419993,6282695508.509682,2337.0,0.007159824570241977,0.001916792357968794,0.517757809157039,0.18042757917009783,3.501925545571245,phase3c_gpu_000017_0063,0.007159821223467588,14,17,63,0.007159824570241977,0.0
