step,avg_reward,std_reward,step_max_reward,best_gpu_reward,valid_rate,invalid_rate,avg_formula_len,entropy,loss,sample_seconds,vm_seconds,score_seconds,backward_seconds,step_seconds,formulas_per_second,cuda_memory_allocated_mb,cuda_memory_reserved_mb,avg_allowed_actions
1,-1.0900399684906006,1.9101672172546387,0.0064719622023403645,0.0064719622023403645,0.71875,0.28125,14.98828125,40.313228607177734,-0.5922908782958984,4.539903460070491,0.17475483939051628,2.087562758475542,0.17039808817207813,6.990294890478253,146.4888128532073,286.8447265625,7918.0,17.214613970588236
2,-1.005042552947998,1.8380897045135498,0.007049304898828268,0.007049304898828268,0.7333984375,0.2666015625,15.3349609375,41.1876220703125,-0.660484254360199,4.187512407079339,0.13969671912491322,2.0222207829356194,0.03784240409731865,6.404872542247176,159.8782791141579,286.8447265625,8188.0,17.569221047794116
3,-0.9199163913726807,1.8083080053329468,0.006689887028187513,0.007049304898828268,0.765625,0.234375,15.1083984375,40.713706970214844,-0.6723088026046753,4.190967308357358,0.1385081447660923,2.0174287389963865,0.0380869135260582,6.402505572885275,159.93738519130045,286.8447265625,8188.0,17.40383731617647
4,-0.8173889517784119,1.7303171157836914,0.0066022309474647045,0.007049304898828268,0.7919921875,0.2080078125,15.33984375,41.233314514160156,-0.7376018762588501,4.208445580676198,0.1393184121698141,1.9915824849158525,0.04148811846971512,6.398587558418512,160.03531883419188,286.8447265625,8188.0,17.60885799632353
5,-0.7321881055831909,1.6718162298202515,0.006583475042134523,0.007049304898828268,0.818359375,0.181640625,15.16015625,40.782569885253906,-0.6832277774810791,4.1620016768574715,0.14151520282030106,2.034542916342616,0.040585774928331375,6.396596806123853,160.0851251121006,286.8447265625,8188.0,17.428940716911764
6,-0.6090185642242432,1.5370457172393799,0.0071378061547875404,0.0071378061547875404,0.8447265625,0.1552734375,15.2734375,40.90666198730469,-0.7431397438049316,4.181494552642107,0.13676517270505428,1.997004695236683,0.038200534880161285,6.373476132750511,160.66585622531966,286.8447265625,8188.0,17.481675091911764
7,-0.5172127485275269,1.4207879304885864,0.00711126159876585,0.0071378061547875404,0.8642578125,0.1357421875,15.2548828125,40.92625427246094,-0.7824574708938599,4.1973852925002575,0.1407735850661993,2.018767749890685,0.04007561132311821,6.415280755609274,159.61889105237583,286.8447265625,8188.0,17.534466911764707
8,-0.5083721876144409,1.4022061824798584,0.0068268016912043095,0.0071378061547875404,0.8642578125,0.1357421875,15.025390625,40.194061279296875,-0.7963920831680298,4.051257228478789,0.1388678140938282,2.018558179959655,0.038406508043408394,6.264864692464471,163.45125557646787,286.8447265625,8192.0,17.219496783088236
9,-0.43898093700408936,1.3271822929382324,0.00725300470367074,0.00725300470367074,0.8857421875,0.1142578125,15.056640625,40.24595642089844,-0.6538640856742859,4.101714961230755,0.13818923197686672,2.0642653051763773,0.04089599661529064,6.36309464648366,160.92798502783194,286.8447265625,8192.0,17.27096737132353
10,-0.45655515789985657,1.345409870147705,0.007293008267879486,0.007293008267879486,0.8798828125,0.1201171875,15.3330078125,40.862831115722656,-0.5043015480041504,4.212264999747276,0.14028273150324821,2.0293355397880077,0.038355451077222824,6.438535004854202,159.0423907345345,286.8447265625,8192.0,17.53463924632353
11,-0.2591733932495117,1.000113844871521,0.008246753364801407,0.008246753364801407,0.9228515625,0.0771484375,14.951171875,39.899356842041016,-0.2942122220993042,4.149973211809993,0.13909091986715794,2.0214611124247313,0.038463469594717026,6.3678982723504305,160.8065889567101,286.8447265625,8192.0,17.150562959558822
12,-0.3470646142959595,1.1774539947509766,0.00685586454346776,0.008246753364801407,0.9052734375,0.0947265625,15.2177734375,40.34114456176758,-0.7638423442840576,4.180033730342984,0.14007619209587574,2.0221147164702415,0.038355058059096336,6.398924827575684,160.026883826975,286.8447265625,8194.0,17.317957261029413
13,-0.31868451833724976,1.154990553855896,0.007966509088873863,0.008246753364801407,0.91796875,0.08203125,15.2041015625,40.3380126953125,-0.9269962310791016,4.108620967715979,0.137821014970541,2.0330688320100307,0.038431620225310326,6.335998114198446,161.61620971845002,286.8447265625,8194.0,17.358283547794116
14,-0.31475090980529785,1.1526849269866943,0.007177659776061773,0.008246753364801407,0.919921875,0.080078125,15.1201171875,39.95014190673828,-1.0770881175994873,4.16973838955164,0.13992711156606674,2.018040459603071,0.0384944062680006,6.383895447477698,160.40362948058404,286.8447265625,8194.0,17.177332261029413
15,-0.2894297242164612,1.0570801496505737,0.006704415660351515,0.008246753364801407,0.9150390625,0.0849609375,15.06640625,39.82911682128906,-0.8156213760375977,4.125186758115888,0.13736413978040218,2.0007767770439386,0.03575477562844753,6.31858216971159,162.06167340967573,286.8447265625,8194.0,17.165958180147058
16,-0.2004355788230896,0.9067230820655823,0.00718288728967309,0.008246753364801407,0.943359375,0.056640625,15.1806640625,40.06336212158203,-0.1218704953789711,4.17092645727098,0.14053373783826828,2.000896170735359,0.0364256426692009,6.366316668689251,160.8465386329627,286.8447265625,8194.0,17.292796415441178
17,-0.17588575184345245,0.859425961971283,0.007159821223467588,0.008246753364801407,0.951171875,0.048828125,15.0771484375,39.66407775878906,-0.5138956308364868,4.126095753163099,0.14188770949840546,2.0171772055327892,0.039972055703401566,6.34583174996078,161.36576580466834,286.8447265625,8194.0,17.12161075367647
18,-0.1886662244796753,0.8962640166282654,0.006613590754568577,0.008246753364801407,0.94921875,0.05078125,15.2998046875,40.358192443847656,-0.6047060489654541,4.207122867926955,0.13961117155849934,2.0113638304173946,0.038500744849443436,6.414251254871488,159.64451021813244,286.8447265625,8194.0,17.481272977941178
19,-0.18188317120075226,0.8649769425392151,0.006550946272909641,0.008246753364801407,0.9482421875,0.0517578125,15.2197265625,39.867088317871094,-0.6994264125823975,4.142807213589549,0.14119170792400837,1.9986592922359705,0.038515087217092514,6.339103423058987,161.53703949285944,286.8447265625,8194.0,17.249597886029413
20,-0.13301093876361847,0.7407639026641846,0.006965283770114183,0.008246753364801407,0.9609375,0.0390625,15.134765625,39.57207489013672,-0.922028660774231,4.11836127191782,0.14034884981811047,2.007474824786186,0.038626544177532196,6.32251968793571,161.96074516840832,286.8447265625,8194.0,17.12827435661765
21,-0.15438015758991241,0.8206400871276855,0.007490403018891811,0.008246753364801407,0.958984375,0.041015625,15.294921875,40.00538635253906,-0.7000258564949036,4.168325724080205,0.13900423608720303,2.0163014978170395,0.042175695300102234,6.384040765464306,160.39997826134265,286.8447265625,8194.0,17.371955422794116
22,-0.10258418321609497,0.6718692183494568,0.0071465992368757725,0.008246753364801407,0.9716796875,0.0283203125,15.4365234375,40.121681213378906,-0.14330333471298218,4.185207327827811,0.14085027389228344,2.001557681709528,0.0424206368625164,6.387956632301211,160.30165183371196,286.8447265625,8194.0,17.403435202205884
23,-0.09083051979541779,0.6096315979957581,0.006760961376130581,0.008246753364801407,0.9716796875,0.0283203125,15.3984375,40.103416442871094,-0.4989856779575348,4.18829570710659,0.13925447687506676,1.997732024639845,0.039464207366108894,6.382572561502457,160.43687559095304,286.8447265625,8194.0,17.450597426470587
24,-0.06250612437725067,0.5247932076454163,0.006576204672455788,0.008246753364801407,0.9814453125,0.0185546875,15.3857421875,39.89595031738281,-0.23269370198249817,4.165039559826255,0.13959937170147896,1.9896223694086075,0.04022725112736225,6.353793907910585,161.16355280663132,286.8447265625,8194.0,17.35690487132353
25,-0.11530101299285889,0.6990540623664856,0.007178265135735273,0.008246753364801407,0.966796875,0.033203125,15.208984375,39.2901611328125,-0.4274325370788574,4.10101992636919,0.13869930431246758,1.987114043906331,0.03836468420922756,6.283324301242828,162.97105654684336,286.8447265625,8194.0,17.07944623161765
