formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula,gpu_reward,gpu_rank,step,sample_idx,reloaded_reward,reward_abs_diff
phase3c_gpu_000067_1009,phase3c_cpu_audit,phase3a-v1,5 4 4 8 13 3 24 20 8 2 10 2 8 11 20 19,amount volume volume ADD ABS close DECAY MA20 ADD low MUL low ADD DIV MA20 MA10,MA10(MA20((amount DIV (((ABS((volume ADD volume)) ADD MA20(DECAY(close))) MUL low) ADD low)))),16,10,True,,0.00859930311505412,42446,0.9785370127025843,30.481841587247153,2337,0.00859930311505412,0.006406759026501813,0.5759520753102267,0.21670243849936383,3.501925545571245,phase3c_gpu_000067_1009,0.00859931018203497,1,67,1009,0.00859930311505412,0.0
phase3c_gpu_000001_0760,phase3c_cpu_audit,phase3a-v1,2 23 5 16 16 9 20 23 21 13 17 22 24 21 20 19,low RET10 amount DELAY5 DELAY5 SUB MA20 RET10 STD10 ABS DELAY10 RET5 DECAY STD10 MA20 MA10,MA10(MA20(STD10(DECAY(RET5(DELAY10(ABS(STD10(RET10(MA20((RET10(low) SUB DELAY5(DELAY5(amount))))))))))))),16,10,True,,0.008241765894919931,41457,0.9557369112663393,0.40552364654870193,2337,0.008241765894919931,0.004826249250024978,0.5502781343602909,0.20769250055198224,3.501925545571245,phase3c_gpu_000001_0760,0.008245733566582203,2,1,760,0.008241765894919931,0.0
phase3c_gpu_000029_0475,phase3c_cpu_audit,phase3a-v1,1 15 0 13 13 2 10 19 13 22 24 11 24 20,high DELAY1 open ABS ABS low MUL MA10 ABS RET5 DECAY DIV DECAY MA20,MA20(DECAY((DELAY1(high) DIV DECAY(RET5(ABS(MA10((ABS(ABS(open)) MUL low)))))))),14,10,True,,0.008173291370516757,42674,0.9837932544897066,5568.658927917905,2337,0.008173291370516757,0.0061604520667010165,0.5755241762943946,0.20596694253702225,3.501925545571245,phase3c_gpu_000029_0475,0.00790271908044815,3,29,475,0.008173291370516757,0.0
phase3c_gpu_000013_0266,phase3c_cpu_audit,phase3a-v1,7 0 15 9 1 4 9 4 14 10 24 11 23 13 20 24,CONST_1 open DELAY1 SUB high volume SUB volume SIGN MUL DECAY DIV RET10 ABS MA20 DECAY,DECAY(MA20(ABS(RET10(((CONST_1 SUB DELAY1(open)) DIV DECAY(((high SUB volume) MUL SIGN(volume)))))))),16,10,True,,0.0076650830014409616,39226,0.9043041243055076,0.8528917286731882,2337,0.0076650830014409616,0.0022513453045061027,0.5246041934103551,0.19316009163631223,3.501925545571245,phase3c_gpu_000013_0266,0.007665082346647978,5,13,266,0.0076650830014409616,0.0
phase3c_gpu_000025_1277,phase3c_cpu_audit,phase3a-v1,5 4 13 4 11 20 22 3 4 13 0 24 8 10 8 11,amount volume ABS volume DIV MA20 RET5 close volume ABS open DECAY ADD MUL ADD DIV,(amount DIV (RET5(MA20((ABS(volume) DIV volume))) ADD (close MUL (ABS(volume) ADD DECAY(open))))),16,10,True,,0.007484539687918324,42820,0.9871590935288287,58.5282926301925,2337,0.007484539687918324,0.005035716619117087,0.5588361146769363,0.18861040013554176,3.501925545571245,phase3c_gpu_000025_1277,0.007484546396881342,7,25,1277,0.007484539687918324,0.0
phase3c_gpu_000021_0337,phase3c_cpu_audit,phase3a-v1,7 19 14 13 5 3 7 4 5 22 13 8 8 10 11 8,CONST_1 MA10 SIGN ABS amount close CONST_1 volume amount RET5 ABS ADD ADD MUL DIV ADD,(ABS(SIGN(MA10(CONST_1))) ADD (amount DIV (close MUL (CONST_1 ADD (volume ADD ABS(RET5(amount))))))),16,10,True,,0.007436652602166758,43277,0.9976946307951219,58.31177443376491,2337,0.007436652602166758,0.005035716619117087,0.558408215661104,0.1874036455746023,3.501925545571245,phase3c_gpu_000021_0337,0.007436657790094614,8,21,337,0.007436652602166758,0.0
phase3c_gpu_000028_1915,phase3c_cpu_audit,phase3a-v1,3 4 8 0 7 15 5 12 1 9 3 13 11 8 8 11,close volume ADD open CONST_1 DELAY1 amount NEG high SUB close ABS DIV ADD ADD DIV,((close ADD volume) DIV (open ADD (DELAY1(CONST_1) ADD ((NEG(amount) SUB high) DIV ABS(close))))),16,10,True,,0.007424517628015292,43375,0.9999538926159024,0.011941821557610553,2337,0.007424517628015292,0.005035716619117087,0.5588361146769363,0.18709784422598535,3.501925545571245,phase3c_gpu_000028_1915,0.007424521259963512,9,28,1915,0.007424517628015292,0.0
phase3c_gpu_000025_1519,phase3c_cpu_audit,phase3a-v1,4 20 13 20 14 3 5 13 4 11 1 14 15 9 11 9,volume MA20 ABS MA20 SIGN close amount ABS volume DIV high SIGN DELAY1 SUB DIV SUB,(SIGN(MA20(ABS(MA20(volume)))) SUB (close DIV ((ABS(amount) DIV volume) SUB DELAY1(SIGN(high))))),16,10,True,,0.007407114435019354,42650,0.9832399658805357,0.03865330768829773,2337,0.007407114435019354,0.005161309773046602,0.5596919127086007,0.18665928376248772,3.501925545571245,phase3c_gpu_000025_1519,0.0074064950458705425,10,25,1519,0.007407114435019354,0.0
phase3c_gpu_000001_1280,phase3c_cpu_audit,phase3a-v1,0 4 12 1 12 8 11 4 24 8 19 23 20 5 20 11,open volume NEG high NEG ADD DIV volume DECAY ADD MA10 RET10 MA20 amount MA20 DIV,(MA20(RET10(MA10(((open DIV (NEG(volume) ADD NEG(high))) ADD DECAY(volume))))) DIV MA20(amount)),16,10,True,,0.007398975120560502,42617,0.9824791940429259,6.883386610599815e-07,2337,0.007398975120560502,0.0071707953063884595,0.5742404792468977,0.18645417303812467,3.501925545571245,phase3c_gpu_000001_1280,0.0073989760130643845,11,1,1280,0.007398975120560502,0.0
phase3c_gpu_000008_0728,phase3c_cpu_audit,phase3a-v1,7 15 17 0 9 5 5 22 23 21 17 21 24 8 21 10,CONST_1 DELAY1 DELAY10 open SUB amount amount RET5 RET10 STD10 DELAY10 STD10 DECAY ADD STD10 MUL,((DELAY10(DELAY1(CONST_1)) SUB open) MUL STD10((amount ADD DECAY(STD10(DELAY10(STD10(RET10(RET5(amount))))))))),16,10,True,,0.007322766415996357,42191,0.9726583212301451,1830254997.0454671,2337,0.007322766415996357,0.003597619514352742,0.5348737697903295,0.18453371368310817,3.501925545571245,phase3c_gpu_000008_0728,0.007322768215090036,12,8,728,0.007322766415996357,0.0
phase3c_gpu_000024_1073,phase3c_cpu_audit,phase3a-v1,5 23 3 16 5 13 0 2 14 9 19 12 13 11 8 8,amount RET10 close DELAY5 amount ABS open low SIGN SUB MA10 NEG ABS DIV ADD ADD,(RET10(amount) ADD (DELAY5(close) ADD (ABS(amount) DIV ABS(NEG(MA10((open SUB SIGN(low)))))))),16,10,True,,0.007265507948436345,43147,0.9946976508287803,3.249304759902143e+23,2337,0.007265507948436345,0.002991961814598848,0.5318784766795036,0.1830908003005959,3.501925545571245,phase3c_gpu_000024_1073,0.00725143076851964,13,24,1073,0.007265507948436345,0.0
phase3c_gpu_000064_1820,phase3c_cpu_audit,phase3a-v1,3 0 12 10 18 19 15 1 1 14 24 0 13 8 8 8,close open NEG MUL MA5 MA10 DELAY1 high high SIGN DECAY open ABS ADD ADD ADD,(DELAY1(MA10(MA5((close MUL NEG(open))))) ADD (high ADD (DECAY(SIGN(high)) ADD ABS(open)))),16,10,True,,0.007237341858513572,43111,0.993867717915024,7.719950137687916,2337,0.007237341858513572,0.0024329695687371478,0.5271715875053488,0.18238101483454203,3.501925545571245,phase3c_gpu_000064_1820,0.007215382531285286,15,64,1820,0.007237341858513572,0.0
phase3c_gpu_000010_0933,phase3c_cpu_audit,phase3a-v1,6 4 22 16 14 9 20 13 18 21 0 5 10 2 8 11,CONST_0 volume RET5 DELAY5 SIGN SUB MA20 ABS MA5 STD10 open amount MUL low ADD DIV,(STD10(MA5(ABS(MA20((CONST_0 SUB SIGN(DELAY5(RET5(volume)))))))) DIV ((open MUL amount) ADD low)),16,10,True,,0.007224013265253146,42455,0.9787444959310233,0.0005310823120148608,2337,0.007224013265253146,0.0063074887191947315,0.5673940949935815,0.1820451342843793,3.501925545571245,phase3c_gpu_000010_0933,0.006874402053654194,59,10,933,0.007224013265253146,0.0
